【Shinonome Akito - 4Star】

Character: Shinonome Akito
Category: 4Star
Count: 22

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
136 | 2022-01-01 | Because We're Partners | 4 | cool | To Sing With You | Singing in Sync | https://storage.sekai.best/sekai-en-assets/character/member/res011_no005/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no005/card_after_training.png
166 | 2022-03-06 | Waiting For You | 4 | mysterious | Greatest Compliment | Nocturne Interlude | https://storage.sekai.best/sekai-en-assets/character/member/res011_no006/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no006/card_after_training.png
212 | 2022-05-17 | A Night Of Defeat | 4 | happy | The Presence Of Teammates | STRAY BAD DOG | https://storage.sekai.best/sekai-en-assets/character/member/res011_no007/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no007/card_after_training.png
254 | 2022-07-21 | Unchanging Summer Festival | 4 | cool | Still Playing Soccer | The Sounds of a Summer Festival! | https://storage.sekai.best/sekai-en-assets/character/member/res011_no009/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no009/card_after_training.png
342 | 2022-12-20 | A Winter Evening Chat | 4 | pure | Camping With The Shinonomes | Same Dreams, Same Colors | https://storage.sekai.best/sekai-en-assets/character/member/res011_no012/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no012/card_after_training.png
386 | 2023-02-28 | No Compromises When Making Chocolates | 4 | mysterious | A Dash Of Orange Zest | A Gentleman Thief's Thrilling White Day?! | https://storage.sekai.best/sekai-en-assets/character/member/res011_no014/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no014/card_after_training.png
434 | 2023-05-20 | Newfound Enthusiasm | 4 | cute | We Need More Pancakes?! | THE POWER OF UNITY | https://storage.sekai.best/sekai-en-assets/character/member/res011_no016/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no016/card_after_training.png
464 | 2023-07-11 | One-Act Morning Practice | 4 | mysterious | The Inaugural Footrace! | The Vivid Old Tale | https://storage.sekai.best/sekai-en-assets/character/member/res011_no017/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no017/card_after_training.png
513 | 2023-09-30 | Those Wild Cheers | 4 | pure | Bond With An Old Friend | At This Festival Bathed in Twilight | https://storage.sekai.best/sekai-en-assets/character/member/res011_no020/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no020/card_after_training.png
551 | 2023-12-11 | The Reason For His Words | 4 | happy | The People Who Matter Are Watching | Find A Way Out | https://storage.sekai.best/sekai-en-assets/character/member/res011_no022/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no022/card_after_training.png
597 | 2024-02-19 | Strategy Meeting With Cheesecake | 4 | happy | An Appetizing Proposal | Kick It Up a Notch | https://storage.sekai.best/sekai-en-assets/character/member/res011_no024/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no024/card_after_training.png
671 | 2024-06-30 | Thirsting Wanderer | 4 | cute | What Cannot Be Lost |  | https://storage.sekai.best/sekai-en-assets/character/member/res011_no026/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no026/card_after_training.png
695 | 2024-08-10 | Outfit Assembler! | 4 | pure | True Meaning Made Clear | On Your Feet | https://storage.sekai.best/sekai-en-assets/character/member/res011_no027/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no027/card_after_training.png
768 | 2024-10-12 | Flame Passed On | 4 | cute | When All Is Said And Done | Burn My Soul | https://storage.sekai.best/sekai-en-assets/character/member/res011_no030/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no030/card_after_training.png
797 | 2024-11-30 | Committed Actor | 4 | pure | Until We Wrap It Up | Picture Perfect! | https://storage.sekai.best/sekai-en-assets/character/member/res011_no032/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no032/card_after_training.png
850 | 2025-01-09 | Unyielding Resolve | 4 | cute | Coaching During Break Time | Break Down the Wall | https://storage.sekai.best/sekai-en-assets/character/member/res011_no034/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no034/card_after_training.png
898 | 2025-03-30 | Tag Terror | 4 | cool | The Trust We've Built | Rise as One! | https://storage.sekai.best/sekai-en-assets/character/member/res011_no035/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no035/card_after_training.png
952 | 2025-06-30 | Huddle Of Resolve | 4 | mysterious | Signs Of What's To Come | Over Rad Squad!! | https://storage.sekai.best/sekai-en-assets/character/member/res011_no037/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no037/card_after_training.png
994 | 2025-09-10 | Post-Competition Feast | 4 | happy | Back At The Obstacle Course | Get Fit & Fly! Muscle Training! | https://storage.sekai.best/sekai-en-assets/character/member/res011_no038/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no038/card_after_training.png
1016 | 2025-10-21 | Burnout | 4 | cool | We'll See The World Together | Rekindle the Flame | https://storage.sekai.best/sekai-en-assets/character/member/res011_no039/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no039/card_after_training.png
1059 | 2025-12-31 | Unexpected Farewell Gift | 4 | cute | The Year's First Test Of Luck | Unfading Wishing | https://storage.sekai.best/sekai-en-assets/character/member/res011_no042/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no042/card_after_training.png
1153 | 2026-04-08 | Words I Never Thought I'd Hear | 4 | happy | Saved By Their Voices | Turning Pain Into Drive | https://storage.sekai.best/sekai-en-assets/character/member/res011_no046/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res011_no046/card_after_training.png
