【Otori Emu - 4Star】

Character: Otori Emu
Category: 4Star
Count: 22

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
124 | 2022-01-09 | Sprint! Relay Anchor☆ | 4 | pure | Explosive Support | Run! Sports Festival! Committee Rush | https://storage.sekai.best/sekai-en-assets/character/member/res014_no007/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no007/card_after_training.png
180 | 2022-03-30 | An Irreplaceable Smile | 4 | mysterious | I'll Be Okay If I'm With Everyone | Smile of a Dreamer | https://storage.sekai.best/sekai-en-assets/character/member/res014_no009/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no009/card_after_training.png
233 | 2022-06-18 | Our Feelings Become One | 4 | cool | It All Started With Mr. Mascot | Wonder Magical Showtime! | https://storage.sekai.best/sekai-en-assets/character/member/res014_no010/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no010/card_after_training.png
261 | 2022-08-01 | The Barbeque Magistrate?! | 4 | pure | Sharing Memories With Everyone | The BEST Summer Ever! | https://storage.sekai.best/sekai-en-assets/character/member/res014_no011/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no011/card_after_training.png
356 | 2023-01-12 | Private Emu's Investigating! | 4 | cool | Notebook For Trying Both | Popping in My Heart! | https://storage.sekai.best/sekai-en-assets/character/member/res014_no014/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no014/card_after_training.png
370 | 2023-01-31 | Surprise☆For☆My☆Family | 4 | happy | Piña-Piña-Piñata! | Secret Operation Valentine's Day | https://storage.sekai.best/sekai-en-assets/character/member/res014_no015/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no015/card_after_training.png
452 | 2023-06-20 | Fishing Before The Storm | 4 | happy | What's With The Cruiser? | Desperate Times?! Island Panic! | https://storage.sekai.best/sekai-en-assets/character/member/res014_no017/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no017/card_after_training.png
476 | 2023-07-31 | Our Eyes Are Sparkling☆ | 4 | cute | Hyper ☆ Sensory Player | close game/OFFLINE | https://storage.sekai.best/sekai-en-assets/character/member/res014_no018/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no018/card_after_training.png
501 | 2023-09-10 | The Same Face As Mr. Octopus☆ | 4 | mysterious | A Happy Drawing Song | Paint What I Love♪ Rainbow Canvas | https://storage.sekai.best/sekai-en-assets/character/member/res014_no020/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no020/card_after_training.png
571 | 2024-01-10 | The Sparkle In Your Eyes | 4 | mysterious | For A Happy Ending | To The Gleaming Stars Halfway Through a Dream | https://storage.sekai.best/sekai-en-assets/character/member/res014_no022/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no022/card_after_training.png
607 | 2024-03-11 | Quack ☆ A Ducky Endeavor! | 4 | cute | Extreme Method Acting | The Phoenix in the Distant Sky | https://storage.sekai.best/sekai-en-assets/character/member/res014_no023/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no023/card_after_training.png
655 | 2024-05-31 | Enter Count Otori! | 4 | pure | A Successful Special Show♪ | To You, My Caring Companion | https://storage.sekai.best/sekai-en-assets/character/member/res014_no025/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no025/card_after_training.png
700 | 2024-08-21 | A World Of Smiles | 4 | happy | Goodbye For Now | Our Happy Ending | https://storage.sekai.best/sekai-en-assets/character/member/res014_no027/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no027/card_after_training.png
