【Otori Emu - Special】

Character: Otori Emu
Category: Special
Count: 10

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
180 | 2022-03-30 | An Irreplaceable Smile | 4 | mysterious | I'll Be Okay If I'm With Everyone | Smile of a Dreamer | https://storage.sekai.best/sekai-en-assets/character/member/res014_no009/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no009/card_after_training.png
370 | 2023-01-31 | Surprise☆For☆My☆Family | 4 | happy | Piña-Piña-Piñata! | Secret Operation Valentine's Day | https://storage.sekai.best/sekai-en-assets/character/member/res014_no015/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no015/card_after_training.png
476 | 2023-07-31 | Our Eyes Are Sparkling☆ | 4 | cute | Hyper ☆ Sensory Player | close game/OFFLINE | https://storage.sekai.best/sekai-en-assets/character/member/res014_no018/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no018/card_after_training.png
655 | 2024-05-31 | Enter Count Otori! | 4 | pure | A Successful Special Show♪ | To You, My Caring Companion | https://storage.sekai.best/sekai-en-assets/character/member/res014_no025/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no025/card_after_training.png
885 | 2025-03-08 | Let's Think Together | 4 | cool | Looking For A Red House? | With Your Sights on Stardom, Set Sail! | https://storage.sekai.best/sekai-en-assets/character/member/res014_no034/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no034/card_after_training.png
897 | 2025-03-30 | A Momentary Reunion | 4 | mysterious | Sowing Seeds Of Dreams |  | https://storage.sekai.best/sekai-en-assets/character/member/res014_no035/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no035/card_after_training.png
987 | 2025-08-31 | I'm The Meow-Meow Monster! | 4 | cool | Speedster Granny?! | Wonderhorror?! A Test of Courage! | https://storage.sekai.best/sekai-en-assets/character/member/res014_no038/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no038/card_after_training.png
1128 | 2026-02-28 | Helping You Show Thanks | 4 | pure | White Day Harmony | Connect Hearts Message | https://storage.sekai.best/sekai-en-assets/character/member/res014_no043/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no043/card_after_training.png
1170 | 2026-05-09 | At A Stage Full Of Smiles | 4 | happy | Just A Little Longer | Dear My Fellows | https://storage.sekai.best/sekai-en-assets/character/member/res014_no045/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no045/card_after_training.png
1230 | 2026-08-30 | Smiling Fairy | 4 | cool | A Colorful Offering | Deep Dark for Light | https://storage.sekai.best/sekai-en-assets/character/member/res014_no047/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res014_no047/card_after_training.png
