【Shinonome Ena - 4Star】

Character: Shinonome Ena
Category: 4Star
Count: 23

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
152 | 2022-02-10 | New Year's At The Shinonomes | 4 | pure | The Spoils Of War | SEKAI Happy New Year! | https://storage.sekai.best/sekai-en-assets/character/member/res019_no006/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res019_no006/card_after_training.png
175 | 2022-03-22 | I Don't Want To Give Up | 4 | happy | Struggle And Strife | Insatiable Pale Color | https://storage.sekai.best/sekai-en-assets/character/member/res019_no007/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res019_no007/card_after_training.png
204 | 2022-05-01 | Mystery Tour Baptism? | 4 | cute | A Hazy Feeling I Can't Shake | Secret Distance | https://storage.sekai.best/sekai-en-assets/character/member/res019_no008/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res019_no008/card_after_training.png
217 | 2022-05-25 | Outstretched Hand | 4 | pure | I Still Don't Know Anything | What's on your mind? Exciting Picnic! | https://storage.sekai.best/sekai-en-assets/character/member/res019_no009/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res019_no009/card_after_training.png
255 | 2022-07-21 | Distant Summer Festival | 4 | cool | I Want To Know All About You | The Sounds of a Summer Festival! | https://storage.sekai.best/sekai-en-assets/character/member/res019_no011/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res019_no011/card_after_training.png
308 | 2022-10-28 | Hermit Searcher | 4 | cute | Just Start Small | What lies behind. What lies ahead. | https://storage.sekai.best/sekai-en-assets/character/member/res019_no013/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res019_no013/card_after_training.png
397 | 2023-03-20 | Through Pain And Misery | 4 | cool | As Long As There's A Chance | On This Blank Canvas, I Paint | https://storage.sekai.best/sekai-en-assets/character/member/res019_no015/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res019_no015/card_after_training.png
460 | 2023-06-30 | This Claw's Too Weak! | 4 | happy | Straightforward Gaze | Let's Enjoy Together! SpoJoy Park | https://storage.sekai.best/sekai-en-assets/character/member/res019_no019/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res019_no019/card_after_training.png
499 | 2023-09-10 | The Animal From My Memory | 4 | mysterious | Sketching With Everyone♪ | Paint What I Love♪ Rainbow Canvas | https://storage.sekai.best/sekai-en-assets/character/member/res019_no021/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res019_no021/card_after_training.png
540 | 2023-11-20 | I Want To Capture That Expression | 4 | mysterious | The Intent Behind Those Words | Hope Will Someday Go Beyond the Morning | https://storage.sekai.best/sekai-en-assets/character/member/res019_no022/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res019_no022/card_after_training.png
