【Hoshino Ichika - Old Uniform】

Character: Hoshino Ichika
Category: Old Uniform
Count: 15

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
1 | 2021-12-07 | Distant Yet Caring | 1 | cool | Bed Of Flowers |  | https://storage.sekai.best/sekai-en-assets/character/member/res001_no001/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res001_no001/card_after_training.png
2 | 2021-12-07 | Leo/need | 2 | happy | Time To Rhyme |  | https://storage.sekai.best/sekai-en-assets/character/member/res001_no002/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res001_no002/card_after_training.png
3 | 2021-12-07 | Beyond The Sky | 3 | mysterious | One Step Forward |  | https://storage.sekai.best/sekai-en-assets/character/member/res001_no003/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res001_no003/card_after_training.png
4 | 2021-12-07 | Words Before Dawn | 4 | cute | Chase Away The Butterflies |  | https://storage.sekai.best/sekai-en-assets/character/member/res001_no004/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res001_no004/card_after_training.png
113 | 2021-12-08 | Starry Steps | 2 | pure | Jumping Star | First Star After the Rain | https://storage.sekai.best/sekai-en-assets/character/member/res001_no005/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res001_no005/card_after_training.png
157 | 2022-02-18 | Smiling Once More | 4 | happy | Operation Talent Boost?! | Don't Let Doubts Hold You Back | https://storage.sekai.best/sekai-en-assets/character/member/res001_no006/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res001_no006/card_after_training.png
197 | 2022-04-23 | Hoping For Clear Skies | 4 | pure | Picnic With Everyone! | Singing Among the Cherry Blossoms | https://storage.sekai.best/sekai-en-assets/character/member/res001_no007/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res001_no007/card_after_training.png
210 | 2022-05-09 | My Feelings, Your Heart | 3 | happy | When I Enjoy Music The Most | Resonating with you | https://storage.sekai.best/sekai-en-assets/character/member/res001_no008/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res001_no008/card_after_training.png
248 | 2022-07-04 | An Umbrella Waiting For Clear Skies | 2 | cute | Next, With Our Words | Unnamed Harmony | https://storage.sekai.best/sekai-en-assets/character/member/res001_no009/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res001_no009/card_after_training.png
279 | 2022-09-09 | Star Piece Connection | 4 | mysterious | What I Want To Tell You | A Bright Future!! | https://storage.sekai.best/sekai-en-assets/character/member/res001_no010/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res001_no010/card_after_training.png
316 | 2022-11-08 | Our New Song's Goal | 3 | cute | The Trials Of Going Pro | Putting Feelings Into Words | https://storage.sekai.best/sekai-en-assets/character/member/res001_no012/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res001_no012/card_after_training.png
381 | 2023-02-18 | Did You Hear That?! | 4 | pure | I.O.U. A Compliment | That day, the Sky was Far Away | https://storage.sekai.best/sekai-en-assets/character/member/res001_no014/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res001_no014/card_after_training.png
416 | 2023-04-21 | Before Thinking About It | 4 | mysterious | Delivering Those Feelings | Live with Memories | https://storage.sekai.best/sekai-en-assets/character/member/res001_no015/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res001_no015/card_after_training.png
462 | 2023-06-30 | I Have To Act On My Own | 2 | cool | Mind Helping Me With The Bubble Suit? | Let's Enjoy Together! SpoJoy Park | https://storage.sekai.best/sekai-en-assets/character/member/res001_no016/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res001_no016/card_after_training.png
470 | 2023-07-21 | Let Me Hear That Song | 4 | cute | Share Even The Pain With Me | No seek No find | https://storage.sekai.best/sekai-en-assets/character/member/res001_no017/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res001_no017/card_after_training.png
