【Azusawa Kohane - New Uniform】

Character: Azusawa Kohane
Category: New Uniform
Count: 13

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
554 | 2023-12-11 | Countdown to Christmas! | 3 | cute | Chatting On The Way Home | Find A Way Out | https://storage.sekai.best/sekai-en-assets/character/member/res009_no022/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res009_no022/card_after_training.png
595 | 2024-02-19 | After The Climax | 4 | happy | Crucial Moments, Casual Moments | Kick It Up a Notch | https://storage.sekai.best/sekai-en-assets/character/member/res009_no023/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res009_no023/card_after_training.png
663 | 2024-06-10 | Our Last Practice | 2 | pure | An Unusual Morning | Light Up the Fire | https://storage.sekai.best/sekai-en-assets/character/member/res009_no025/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res009_no025/card_after_training.png
694 | 2024-08-10 | In My Own Words | 4 | pure | Singer Talk | On Your Feet | https://storage.sekai.best/sekai-en-assets/character/member/res009_no027/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res009_no027/card_after_training.png
732 | 2024-09-30 | Brand New Style | 2 | happy | Nervous Newcomer |  | https://storage.sekai.best/sekai-en-assets/character/member/res009_no028/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res009_no028/card_after_training.png
766 | 2024-09-30 | For A New Dawn | 3 | cool | Feeling Growth | Hello to a New Day! | https://storage.sekai.best/sekai-en-assets/character/member/res009_no029/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res009_no029/card_after_training.png
769 | 2024-10-12 | Trying To Stay Awake | 4 | cute | Future Driver | Burn My Soul | https://storage.sekai.best/sekai-en-assets/character/member/res009_no030/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res009_no030/card_after_training.png
894 | 2025-03-22 | I'll Tell You Lots! | 2 | cute | A Sudden Visitor... Dad?! | The First Concerto | https://storage.sekai.best/sekai-en-assets/character/member/res009_no035/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res009_no035/card_after_training.png
1017 | 2025-10-21 | To Be Worthy | 4 | cool | Matching Pouches | Rekindle the Flame | https://storage.sekai.best/sekai-en-assets/character/member/res009_no038/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res009_no038/card_after_training.png
1051 | 2025-12-21 | Can't Wait For The Show | 4 | pure | Impressions May Vary | Special Present for You! | https://storage.sekai.best/sekai-en-assets/character/member/res009_no039/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res009_no039/card_after_training.png
1066 | 2026-01-11 | The Biggest Bite I Can Muster | 4 | happy | Authentic Hamburgers! | Time to Take Off! | https://storage.sekai.best/sekai-en-assets/character/member/res009_no040/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res009_no040/card_after_training.png
1100 | 2026-01-21 | American Style? | 3 | cute | Photos For The Memories | Show Your Shine | https://storage.sekai.best/sekai-en-assets/character/member/res009_no042/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res009_no042/card_after_training.png
1216 | 2026-07-31 | To Future Me | 3 | pure | It's Good To Be Back! | Competitive Fire! | https://storage.sekai.best/sekai-en-assets/character/member/res009_no046/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res009_no046/card_after_training.png
