【Hanasato Minori - 4Star】

Character: Hanasato Minori
Category: 4Star
Count: 23

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
130 | 2022-01-17 | Wh-Wh-Wh-What?! | 4 | cute | Fresh Endeavor | Time to RE:START! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no005/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no005/card_after_training.png
190 | 2022-04-15 | For "Your" Sake | 4 | happy | MORE MORE For Four | Hear Me! Hopeful Show♪ | https://storage.sekai.best/sekai-en-assets/character/member/res005_no007/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no007/card_after_training.png
224 | 2022-06-02 | Passionate Call! | 4 | mysterious | Animal Therapy Time | You deserve it! Break Time! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no009/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no009/card_after_training.png
291 | 2022-10-01 | Blessings From My Friends | 4 | pure | I'm Still Growing But More And More | Scramble Fan Festival! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no011/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no011/card_after_training.png
330 | 2022-12-10 | Let's Do A Fan Meeting! | 4 | mysterious | Preparing For The Mini Event | MORE MORE Making Christmas | https://storage.sekai.best/sekai-en-assets/character/member/res005_no012/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no012/card_after_training.png
392 | 2023-03-11 | Passionate Talk! | 4 | pure | Professionalism, Little By Little | Cast a Spell on You | https://storage.sekai.best/sekai-en-assets/character/member/res005_no013/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no013/card_after_training.png
423 | 2023-04-30 | My First Vocal Range Check! | 4 | cool | MORE MORE JUMP!'s Secret Story?! | Tied By Painful Hope | https://storage.sekai.best/sekai-en-assets/character/member/res005_no015/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no015/card_after_training.png
459 | 2023-06-30 | Falling With Honor | 4 | happy | Who Gets To Take PenPyon? | Let's Enjoy Together! SpoJoy Park | https://storage.sekai.best/sekai-en-assets/character/member/res005_no016/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no016/card_after_training.png
517 | 2023-10-11 | Beyond The Spotlight | 4 | cute | Chip Off The Old Block | Dear Me, From Back Then | https://storage.sekai.best/sekai-en-assets/character/member/res005_no018/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no018/card_after_training.png
530 | 2023-10-31 | I'm Gonna Lose My Head! | 4 | mysterious | An A-meow-sing Fan♪ | Screaming?! Welcome to the Forest of Wolves! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no019/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no019/card_after_training.png
590 | 2024-02-10 | Nom Nom Time! | 4 | happy | A Lesson In Being Backstage | At The End of The Unraveled Thread | https://storage.sekai.best/sekai-en-assets/character/member/res005_no021/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no021/card_after_training.png
664 | 2024-06-20 | I'll Treasure It For Life! | 4 | cool | The Day We First Spoke | Step by Step! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no024/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no024/card_after_training.png
763 | 2024-09-30 | Watching Her Back | 4 | cute | Still The Same School | Hello to a New Day! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no027/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no027/card_after_training.png
828 | 2024-12-10 | Scurry! Dash! Skitter! | 4 | cool | Zookeeper For A Day | This Way! That Way! Zookeeper Day | https://storage.sekai.best/sekai-en-assets/character/member/res005_no030/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no030/card_after_training.png
840 | 2024-12-31 | Each Dream Weaves Another | 4 | pure | So That They're Not Just Dreams |  | https://storage.sekai.best/sekai-en-assets/character/member/res005_no031/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no031/card_after_training.png
873 | 2025-02-20 | Painful Honesty | 4 | pure | This Isn't Goodbye, Okay?! | From the Marks Left Behind | https://storage.sekai.best/sekai-en-assets/character/member/res005_no032/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no032/card_after_training.png
