【Hanasato Minori - New Uniform】

Character: Hanasato Minori
Category: New Uniform
Count: 18

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
517 | 2023-10-11 | Beyond The Spotlight | 4 | cute | Chip Off The Old Block | Dear Me, From Back Then | https://storage.sekai.best/sekai-en-assets/character/member/res005_no018/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no018/card_after_training.png
548 | 2023-11-30 | Late-Night MC Training | 3 | happy | Preparing For The Impending Day | Beyond The Dream of That Day | https://storage.sekai.best/sekai-en-assets/character/member/res005_no020/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no020/card_after_training.png
590 | 2024-02-10 | Nom Nom Time! | 4 | happy | A Lesson In Being Backstage | At The End of The Unraveled Thread | https://storage.sekai.best/sekai-en-assets/character/member/res005_no021/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no021/card_after_training.png
634 | 2024-04-21 | Soothed By Friendship | 2 | happy | What's In Our Bags? | Friendship Rebuilt | https://storage.sekai.best/sekai-en-assets/character/member/res005_no023/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no023/card_after_training.png
664 | 2024-06-20 | I'll Treasure It For Life! | 4 | cool | The Day We First Spoke | Step by Step! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no024/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no024/card_after_training.png
692 | 2024-07-31 | Synonyms For Tasty | 3 | mysterious | Food Review Training | Bustling Cafe ●REC! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no025/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no025/card_after_training.png
728 | 2024-09-30 | Brand New Style | 2 | happy | Famous Fans |  | https://storage.sekai.best/sekai-en-assets/character/member/res005_no026/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no026/card_after_training.png
783 | 2024-10-31 | Chasing My Seniors | 2 | cute | MORE MORE CURRY! | The Warmth of a Guiding Hand | https://storage.sekai.best/sekai-en-assets/character/member/res005_no028/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no028/card_after_training.png
828 | 2024-12-10 | Scurry! Dash! Skitter! | 4 | cool | Zookeeper For A Day | This Way! That Way! Zookeeper Day | https://storage.sekai.best/sekai-en-assets/character/member/res005_no030/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no030/card_after_training.png
873 | 2025-02-20 | Painful Honesty | 4 | pure | This Isn't Goodbye, Okay?! | From the Marks Left Behind | https://storage.sekai.best/sekai-en-assets/character/member/res005_no032/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no032/card_after_training.png
881 | 2025-02-28 | Look What Else They Have! | 3 | cool | Cheering You On For White Day! | Relaxing Tea Time | https://storage.sekai.best/sekai-en-assets/character/member/res005_no033/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no033/card_after_training.png
901 | 2025-03-30 | All Tuckered Out | 3 | happy | Like Owner, Like Pet? | Rise as One! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no034/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no034/card_after_training.png
972 | 2025-07-31 | To Sparkle More | 2 | pure | One Of Those Days | Chase My Ideal Idol! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no038/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no038/card_after_training.png
1046 | 2025-12-11 | Moved Beyond Words | 4 | happy | Comrades In Passion | Grow Glorious Glow | https://storage.sekai.best/sekai-en-assets/character/member/res005_no039/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no039/card_after_training.png
1111 | 2026-02-10 | Game Face At The Meeting! | 4 | mysterious | What We Each Can Do | Rise and Strive | https://storage.sekai.best/sekai-en-assets/character/member/res005_no041/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no041/card_after_training.png
1137 | 2026-03-10 | Can We Be Friends? | 2 | mysterious | Friendship Found | You Are My Hero! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no042/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no042/card_after_training.png
1175 | 2026-05-23 | Debrief Assistance | 4 | happy | Heaps Of Effort | Cheer With My Heart! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no044/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no044/card_after_training.png
1207 | 2026-07-23 | Sharing My Honest Feelings | 4 | pure | Group Luggage Check | Start Rolling! Stars' Crossing | https://storage.sekai.best/sekai-en-assets/character/member/res005_no045/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no045/card_after_training.png
