【Hanasato Minori - Old Uniform】

Character: Hanasato Minori
Category: Old Uniform
Count: 12

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
17 | 2021-12-07 | Aiming To Be An Idol! | 1 | pure | Home Training? |  | https://storage.sekai.best/sekai-en-assets/character/member/res005_no001/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no001/card_after_training.png
18 | 2021-12-07 | MORE MORE JUMP! | 2 | cool | Catchphrase Collection! |  | https://storage.sekai.best/sekai-en-assets/character/member/res005_no002/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no002/card_after_training.png
19 | 2021-12-07 | Pre-Show Prep | 3 | cute | From My Heart To Yours! |  | https://storage.sekai.best/sekai-en-assets/character/member/res005_no003/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no003/card_after_training.png
130 | 2022-01-17 | Wh-Wh-Wh-What?! | 4 | cute | Fresh Endeavor | Time to RE:START! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no005/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no005/card_after_training.png
164 | 2022-02-26 | Positive Flower | 2 | pure | Follow In Their Footsteps | My Color! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no006/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no006/card_after_training.png
190 | 2022-04-15 | For "Your" Sake | 4 | happy | MORE MORE For Four | Hear Me! Hopeful Show♪ | https://storage.sekai.best/sekai-en-assets/character/member/res005_no007/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no007/card_after_training.png
200 | 2022-04-23 | Expanding Circle Of Friendship | 3 | cool | A Modest Party | Singing Among the Cherry Blossoms | https://storage.sekai.best/sekai-en-assets/character/member/res005_no008/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no008/card_after_training.png
224 | 2022-06-02 | Passionate Call! | 4 | mysterious | Animal Therapy Time | You deserve it! Break Time! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no009/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no009/card_after_training.png
268 | 2022-08-10 | The Hasty Messenger | 2 | mysterious | A One-Of-A-Kind Autograph | Happy Lovely Everyday! | https://storage.sekai.best/sekai-en-assets/character/member/res005_no010/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no010/card_after_training.png
330 | 2022-12-10 | Let's Do A Fan Meeting! | 4 | mysterious | Preparing For The Mini Event | MORE MORE Making Christmas | https://storage.sekai.best/sekai-en-assets/character/member/res005_no012/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no012/card_after_training.png
392 | 2023-03-11 | Passionate Talk! | 4 | pure | Professionalism, Little By Little | Cast a Spell on You | https://storage.sekai.best/sekai-en-assets/character/member/res005_no013/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no013/card_after_training.png
484 | 2023-08-10 | Smoothies Blended With Feelings | 3 | pure | Training By Smashing Watermelons! | Chasing The Sparkle Beyond the Blue Sky | https://storage.sekai.best/sekai-en-assets/character/member/res005_no017/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res005_no017/card_after_training.png
