【Kamishiro Rui - 4Star】

Character: Kamishiro Rui
Category: 4Star
Count: 23

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
119 | 2021-12-24 | Unexpected Happenings | 4 | happy | To Your Heart's Content | It's On! Wonder Halloween! | https://storage.sekai.best/sekai-en-assets/character/member/res016_no005/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no005/card_after_training.png
182 | 2022-03-30 | The Fire Within | 4 | mysterious | All For A Smile | Smile of a Dreamer | https://storage.sekai.best/sekai-en-assets/character/member/res016_no008/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no008/card_after_training.png
228 | 2022-06-10 | Fantastic Planner | 4 | cute | The Best Cast Members | An Ode for the Pure of Heart | https://storage.sekai.best/sekai-en-assets/character/member/res016_no010/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no010/card_after_training.png
270 | 2022-08-20 | Backstage Alchemist | 4 | pure | A Bit Of Loneliness | Mermaid Admiration | https://storage.sekai.best/sekai-en-assets/character/member/res016_no011/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no011/card_after_training.png
349 | 2022-12-31 | Endless Imagination & Challenges | 4 | cool | The Right Moment To Believe |  | https://storage.sekai.best/sekai-en-assets/character/member/res016_no013/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no013/card_after_training.png
412 | 2023-04-11 | Appreciating That Spirit | 4 | cute | Waiting For The Star's Insight | On the Stage of Dazzling Light | https://storage.sekai.best/sekai-en-assets/character/member/res016_no015/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no015/card_after_training.png
428 | 2023-05-10 | Brilliance At Twilight | 4 | cool | A Well-Rounded Cast | The Climax! Kamiyama Cheer Squad! | https://storage.sekai.best/sekai-en-assets/character/member/res016_no016/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no016/card_after_training.png
514 | 2023-09-30 | Words Of Encouragement | 4 | pure | Everyone's On Chair Duty | At This Festival Bathed in Twilight | https://storage.sekai.best/sekai-en-assets/character/member/res016_no019/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no019/card_after_training.png
522 | 2023-10-21 | Blowing In The Evening Breeze | 4 | cool | Not A Big Deal | A Sad Farewell at the Curtain Call | https://storage.sekai.best/sekai-en-assets/character/member/res016_no020/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no020/card_after_training.png
572 | 2024-01-10 | I Can't Just Lose, Can I? | 4 | mysterious | A Dependable Ally | To The Gleaming Stars Halfway Through a Dream | https://storage.sekai.best/sekai-en-assets/character/member/res016_no021/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no021/card_after_training.png
601 | 2024-02-29 | A Sudden Trial | 4 | mysterious | It's The Thought That Counts | Never Give Up Cooking! | https://storage.sekai.best/sekai-en-assets/character/member/res016_no022/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no022/card_after_training.png
649 | 2024-05-20 | You Can Always Come To Us | 4 | pure | Don't Wallow, Act | The Song of a Canary in Crisis | https://storage.sekai.best/sekai-en-assets/character/member/res016_no024/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no024/card_after_training.png
672 | 2024-06-30 | Sentimental Snapshot | 4 | happy | Leaving Room For Memories | An Unmissable Spirited Affair | https://storage.sekai.best/sekai-en-assets/character/member/res016_no026/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no026/card_after_training.png
720 | 2024-09-20 | Talking At Dusk | 4 | cool | Secretly Making Memories | Let's Study Hard! | https://storage.sekai.best/sekai-en-assets/character/member/res016_no028/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no028/card_after_training.png
792 | 2024-11-22 | Piqued Curiosity | 4 | mysterious | A Pro's Passion | Star of Your Own Story | https://storage.sekai.best/sekai-en-assets/character/member/res016_no030/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no030/card_after_training.png
854 | 2025-01-23 | Words Overheard | 4 | happy | Honored By The Credits | Backlight, Lens Flare | https://storage.sekai.best/sekai-en-assets/character/member/res016_no032/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no032/card_after_training.png
887 | 2025-03-08 | A Greeting In Return | 4 | cute | New SEKAI Expedition! | With Your Sights on Stardom, Set Sail! | https://storage.sekai.best/sekai-en-assets/character/member/res016_no033/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no033/card_after_training.png
957 | 2025-07-09 | Stoic Villain? | 4 | pure | Props On The Props! | Halt! Tenma's on the Case | https://storage.sekai.best/sekai-en-assets/character/member/res016_no037/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no037/card_after_training.png
1003 | 2025-09-30 | Admiring My Treasures | 4 | cute | Because Of That Time | Here on Our Dream Stage | https://storage.sekai.best/sekai-en-assets/character/member/res016_no038/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no038/card_after_training.png
1050 | 2025-12-21 | Operation: Meet Santa! | 4 | pure | For Those Smiles | Special Present for You! | https://storage.sekai.best/sekai-en-assets/character/member/res016_no040/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no040/card_after_training.png
1172 | 2026-05-09 | A Step Closer To My Dream | 4 | cute | Endless Ideas | Dear My Fellows | https://storage.sekai.best/sekai-en-assets/character/member/res016_no045/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no045/card_after_training.png
1196 | 2026-07-07 | How Far I Have To Go | 4 | happy | Grateful For My Friends | Deeper and Deeper | https://storage.sekai.best/sekai-en-assets/character/member/res016_no047/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no047/card_after_training.png
1231 | 2026-08-30 | Passionate Prop Making | 4 | cool | A Step Closer To Our Dreams | Deep Dark for Light | https://storage.sekai.best/sekai-en-assets/character/member/res016_no048/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no048/card_after_training.png
