【Kamishiro Rui - Old Uniform】

Character: Kamishiro Rui
Category: Old Uniform
Count: 13

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
61 | 2021-12-07 | Carefree Prodigy | 1 | mysterious | What I Wish For |  | https://storage.sekai.best/sekai-en-assets/character/member/res016_no001/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no001/card_after_training.png
62 | 2021-12-07 | Wonderlands×Showtime | 2 | pure | Excited For The Outcome |  | https://storage.sekai.best/sekai-en-assets/character/member/res016_no002/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no002/card_after_training.png
63 | 2021-12-07 | Evasive Entertainer | 3 | happy | Let's Give 'Em A Show |  | https://storage.sekai.best/sekai-en-assets/character/member/res016_no003/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no003/card_after_training.png
119 | 2021-12-24 | Unexpected Happenings | 4 | happy | To Your Heart's Content | It's On! Wonder Halloween! | https://storage.sekai.best/sekai-en-assets/character/member/res016_no005/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no005/card_after_training.png
147 | 2022-02-02 | Sound Sleep | 3 | pure | Our Strength | On This Holy Night, I Sing | https://storage.sekai.best/sekai-en-assets/character/member/res016_no006/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no006/card_after_training.png
174 | 2022-03-14 | Beastly Madness | 2 | cool | Abnormal Is The New Normal | Musical Twilight Parade | https://storage.sekai.best/sekai-en-assets/character/member/res016_no007/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no007/card_after_training.png
182 | 2022-03-30 | The Fire Within | 4 | mysterious | All For A Smile | Smile of a Dreamer | https://storage.sekai.best/sekai-en-assets/character/member/res016_no008/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no008/card_after_training.png
220 | 2022-05-25 | Runaway Thought Process | 3 | cute | To You Who Knows Solitude | What's on your mind? Exciting Picnic! | https://storage.sekai.best/sekai-en-assets/character/member/res016_no009/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no009/card_after_training.png
270 | 2022-08-20 | Backstage Alchemist | 4 | pure | A Bit Of Loneliness | Mermaid Admiration | https://storage.sekai.best/sekai-en-assets/character/member/res016_no011/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no011/card_after_training.png
360 | 2023-01-12 | Rainbow☆Cast | 2 | mysterious | Stimulating All Five Senses | Popping in My Heart! | https://storage.sekai.best/sekai-en-assets/character/member/res016_no014/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no014/card_after_training.png
412 | 2023-04-11 | Appreciating That Spirit | 4 | cute | Waiting For The Star's Insight | On the Stage of Dazzling Light | https://storage.sekai.best/sekai-en-assets/character/member/res016_no015/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no015/card_after_training.png
428 | 2023-05-10 | Brilliance At Twilight | 4 | cool | A Well-Rounded Cast | The Climax! Kamiyama Cheer Squad! | https://storage.sekai.best/sekai-en-assets/character/member/res016_no016/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no016/card_after_training.png
454 | 2023-06-20 | Survival Challenge! | 2 | cute | A One-Person Food Shortage? | Desperate Times?! Island Panic! | https://storage.sekai.best/sekai-en-assets/character/member/res016_no017/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res016_no017/card_after_training.png
