【Tenma Saki - New Uniform】

Character: Tenma Saki
Category: New Uniform
Count: 17

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
538 | 2023-11-10 | Kindness I Can Lean On | 3 | pure | The Night Before The Shoot | Echo My Melody | https://storage.sekai.best/sekai-en-assets/character/member/res002_no021/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no021/card_after_training.png
577 | 2024-01-21 | Dozing Off In Art Class | 4 | cute | Relatable Classroom Moment | Little Bravers! | https://storage.sekai.best/sekai-en-assets/character/member/res002_no022/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no022/card_after_training.png
604 | 2024-02-29 | Simmered Gently and Lovingly | 2 | happy | The Tenmas' Special Stew! | Never Give Up Cooking! | https://storage.sekai.best/sekai-en-assets/character/member/res002_no023/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no023/card_after_training.png
624 | 2024-04-11 | Ready To Take It All On | 4 | pure | Resolve To Move Forward | Get Over It | https://storage.sekai.best/sekai-en-assets/character/member/res002_no024/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no024/card_after_training.png
645 | 2024-05-11 | Feeling Like An Incognito Idol | 3 | cute | Operation ☆ Idol ☆ Disguise | One Small Trip Before a Big Journey | https://storage.sekai.best/sekai-en-assets/character/member/res002_no026/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no026/card_after_training.png
687 | 2024-07-21 | See You At The Thank You Show! | 2 | cute | Evening In Our Exciting Home | Our Constellation of Song | https://storage.sekai.best/sekai-en-assets/character/member/res002_no027/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no027/card_after_training.png
714 | 2024-09-10 | Embracing Memories | 4 | happy | My Biggest Wish | Our Precious Memories | https://storage.sekai.best/sekai-en-assets/character/member/res002_no029/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no029/card_after_training.png
725 | 2024-09-30 | Brand New Style | 2 | cute | Listening Comprehension |  | https://storage.sekai.best/sekai-en-assets/character/member/res002_no030/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no030/card_after_training.png
777 | 2024-10-22 | Excitement Explosion | 2 | mysterious | Making Music From The Present | Stick to Your Faith | https://storage.sekai.best/sekai-en-assets/character/member/res002_no031/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no031/card_after_training.png
846 | 2024-12-31 | A Year's Worth Of Thanks | 2 | cool | Perpetual Loop Of Energy! | Beside Unchanging Warmth | https://storage.sekai.best/sekai-en-assets/character/member/res002_no033/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no033/card_after_training.png
871 | 2025-02-10 | What I Want From A Leader? | 2 | pure | Futures That Could Have Been | Lead With Courage and Kindness | https://storage.sekai.best/sekai-en-assets/character/member/res002_no034/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no034/card_after_training.png
909 | 2025-04-20 | In My Empty Room | 4 | happy | Giving Back Is Fun And Delicious♪ | Parallel Harmonies | https://storage.sekai.best/sekai-en-assets/character/member/res002_no036/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no036/card_after_training.png
977 | 2025-08-09 | Old Piano Trio | 2 | happy | If You Hadn't Been There | Play That Beautiful Sound! | https://storage.sekai.best/sekai-en-assets/character/member/res002_no039/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no039/card_after_training.png
999 | 2025-09-20 | Our Dreams Back Then | 4 | mysterious | Youth Expert♪ | This Moment With You! | https://storage.sekai.best/sekai-en-assets/character/member/res002_no040/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no040/card_after_training.png
1031 | 2025-11-10 | Visibly & Audibly Asleep | 3 | pure | The Countless Wonders Of Fall | As the Leaves Change Once More | https://storage.sekai.best/sekai-en-assets/character/member/res002_no042/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no042/card_after_training.png
1098 | 2026-01-21 | Appreciation Overflow! | 4 | cool | The Outfits In My Head | Show Your Shine | https://storage.sekai.best/sekai-en-assets/character/member/res002_no044/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no044/card_after_training.png
1149 | 2026-03-30 | Fun Like A Dream | 3 | mysterious | Compliment Conference♪ | Find the Dream View | https://storage.sekai.best/sekai-en-assets/character/member/res002_no046/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res002_no046/card_after_training.png
