【Hinomori Shiho - New Uniform】

Character: Hinomori Shiho
Category: New Uniform
Count: 16

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
560 | 2023-12-21 | Leo/need Have Fun In The Snow | 2 | pure | The Truth Behind The Snow Bunnies | Raise Your Bow in a Snow-White World | https://storage.sekai.best/sekai-en-assets/character/member/res004_no022/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no022/card_after_training.png
578 | 2024-01-21 | Important Preparations | 4 | cute | Kindness and Strength | Little Bravers! | https://storage.sekai.best/sekai-en-assets/character/member/res004_no024/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no024/card_after_training.png
628 | 2024-04-11 | Technical Expert | 2 | cute | Best Friends, Best Sound | Get Over It | https://storage.sekai.best/sekai-en-assets/character/member/res004_no026/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no026/card_after_training.png
684 | 2024-07-21 | Because Today Is Special | 4 | cool | Wishing For Clear Skies | Our Constellation of Song | https://storage.sekai.best/sekai-en-assets/character/member/res004_no027/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no027/card_after_training.png
715 | 2024-09-10 | Can't Beat That Stare | 4 | happy | Meticulous Design | Our Precious Memories | https://storage.sekai.best/sekai-en-assets/character/member/res004_no028/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no028/card_after_training.png
727 | 2024-09-30 | Brand New Style | 2 | happy | A Tall Order |  | https://storage.sekai.best/sekai-en-assets/character/member/res004_no029/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no029/card_after_training.png
773 | 2024-10-22 | The First Notes | 4 | pure | Better Than Before | Stick to Your Faith | https://storage.sekai.best/sekai-en-assets/character/member/res004_no030/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no030/card_after_training.png
829 | 2024-12-10 | Concealed Joy | 4 | cool | Let Sleeping Guinea Pigs Lie | This Way! That Way! Zookeeper Day | https://storage.sekai.best/sekai-en-assets/character/member/res004_no032/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no032/card_after_training.png
870 | 2025-02-10 | Imagining That Smile | 3 | happy | A Modest Picnic | Lead With Courage and Kindness | https://storage.sekai.best/sekai-en-assets/character/member/res004_no035/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no035/card_after_training.png
910 | 2025-04-20 | Snacks In Hand | 4 | happy | I'll Do My Part | Parallel Harmonies | https://storage.sekai.best/sekai-en-assets/character/member/res004_no036/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no036/card_after_training.png
936 | 2025-05-31 | Any Fun Stories? | 3 | pure | Bridal Fair Talk! | Stream With Friends♡ Wedding Live! | https://storage.sekai.best/sekai-en-assets/character/member/res004_no037/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no037/card_after_training.png
1002 | 2025-09-20 | Unchanging Feelings | 2 | pure | Max Youth?! | This Moment With You! | https://storage.sekai.best/sekai-en-assets/character/member/res004_no039/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no039/card_after_training.png
1026 | 2025-10-31 | Waiting For Our Turn | 2 | cool | To Envision Our Best | Happy Enjoy Music! | https://storage.sekai.best/sekai-en-assets/character/member/res004_no041/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no041/card_after_training.png
1028 | 2025-11-10 | An Autumn Breeze At Sunset | 4 | mysterious | Can't Forget The Souvenirs | As the Leaves Change Once More | https://storage.sekai.best/sekai-en-assets/character/member/res004_no042/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no042/card_after_training.png
1130 | 2026-02-28 | Hugs Of Friendship♪ | 3 | cool | Repaid With Gratitude | Connect Hearts Message | https://storage.sekai.best/sekai-en-assets/character/member/res004_no045/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no045/card_after_training.png
1204 | 2026-07-15 | The Moment I Rise | 3 | happy | That Comfortable Feeling | Unsteady, Still Steady Step | https://storage.sekai.best/sekai-en-assets/character/member/res004_no048/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res004_no048/card_after_training.png
