【Hinomori Shizuku - Special】

Character: Hinomori Shizuku
Category: Special
Count: 10

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
274 | 2022-08-30 | The Same Dango As That Day | 4 | cute | Let Me Help You This Time | The Moon Rabbit & Us | https://storage.sekai.best/sekai-en-assets/character/member/res008_no010/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res008_no010/card_after_training.png
441 | 2023-05-31 | Keeping You From Falling | 4 | pure | How To Be The Perfect Chaperone? | Wishing to the Blue Sky for Your Happiness! | https://storage.sekai.best/sekai-en-assets/character/member/res008_no017/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res008_no017/card_after_training.png
512 | 2023-09-30 | Relaxing With Manjus♪ | 4 | pure | Sheer Dumb Luck? | At This Festival Bathed in Twilight | https://storage.sekai.best/sekai-en-assets/character/member/res008_no019/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res008_no019/card_after_training.png
673 | 2024-06-30 | Unseasonable Snowfall | 4 | happy | Memories & Mementos | An Unmissable Spirited Affair | https://storage.sekai.best/sekai-en-assets/character/member/res008_no027/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res008_no027/card_after_training.png
779 | 2024-10-31 | By The Hand, To A Dream | 4 | cool | For You Who Have Supported Us | The Warmth of a Guiding Hand | https://storage.sekai.best/sekai-en-assets/character/member/res008_no029/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res008_no029/card_after_training.png
841 | 2024-12-31 | Butterflies Not To Forget | 4 | mysterious | Don't Lose A Single Piece |  | https://storage.sekai.best/sekai-en-assets/character/member/res008_no032/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res008_no032/card_after_training.png
924 | 2025-05-09 | Reaching Out To Something | 4 | mysterious | Dilemmas Are Opportunities | To One Day Reach that Flowery Stage | https://storage.sekai.best/sekai-en-assets/character/member/res008_no034/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res008_no034/card_after_training.png
970 | 2025-07-31 | A Special Spell | 4 | cute | I Want To Be Strict! | Chase My Ideal Idol! | https://storage.sekai.best/sekai-en-assets/character/member/res008_no036/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res008_no036/card_after_training.png
1104 | 2026-01-31 | Enamored Of Flower Stitches | 4 | happy | We All Need Calm Moments | Warmth in Every Stitch | https://storage.sekai.best/sekai-en-assets/character/member/res008_no042/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res008_no042/card_after_training.png
1221 | 2026-08-08 | Giving The Perfect Smile | 4 | pure | A Stroll Down Memory Lane | All Ways Jump! With You | https://storage.sekai.best/sekai-en-assets/character/member/res008_no046/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res008_no046/card_after_training.png
