【Aoyagi Toya - Old Uniform】

Character: Aoyagi Toya
Category: Old Uniform
Count: 15

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
45 | 2021-12-07 | Classical Prodigy | 1 | cool | Looking For Foster Parents |  | https://storage.sekai.best/sekai-en-assets/character/member/res012_no001/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no001/card_after_training.png
46 | 2021-12-07 | Vivid BAD SQUAD | 2 | happy | I Envy You |  | https://storage.sekai.best/sekai-en-assets/character/member/res012_no002/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no002/card_after_training.png
47 | 2021-12-07 | Broken Bonds | 3 | cute | Support From Senpai |  | https://storage.sekai.best/sekai-en-assets/character/member/res012_no003/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no003/card_after_training.png
137 | 2022-01-01 | Relaxing Cafe Break | 3 | happy | Feel The Excitement | Singing in Sync | https://storage.sekai.best/sekai-en-assets/character/member/res012_no005/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no005/card_after_training.png
143 | 2022-01-25 | Unexpected Talent? | 2 | cool | The Bear Is The Best | KAMIYAMA HIGH FESTIVAL! | https://storage.sekai.best/sekai-en-assets/character/member/res012_no006/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no006/card_after_training.png
165 | 2022-03-06 | Maybe Someday | 4 | mysterious | Unnecessary Words | Nocturne Interlude | https://storage.sekai.best/sekai-en-assets/character/member/res012_no007/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no007/card_after_training.png
187 | 2022-04-07 | A Bond Between Siblings | 4 | pure | Memories Of Our Meeting | Doll Festival at the Tenma's | https://storage.sekai.best/sekai-en-assets/character/member/res012_no008/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no008/card_after_training.png
216 | 2022-05-17 | As Your Partner | 2 | cute | The Origin of BAD DOGS | STRAY BAD DOG | https://storage.sekai.best/sekai-en-assets/character/member/res012_no009/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no009/card_after_training.png
252 | 2022-07-12 | Respect For My Teammates | 3 | pure | Pop Candy Dog | Awakening Beat | https://storage.sekai.best/sekai-en-assets/character/member/res012_no011/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no011/card_after_training.png
297 | 2022-10-14 | Faith In Believing | 4 | cool | As Usual | Bout for Beside You | https://storage.sekai.best/sekai-en-assets/character/member/res012_no012/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no012/card_after_training.png
341 | 2022-12-20 | Outdoor Cooking! | 4 | pure | Brewing Coffee Using Spring Water | Same Dreams, Same Colors | https://storage.sekai.best/sekai-en-assets/character/member/res012_no013/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no013/card_after_training.png
374 | 2023-02-09 | Turning Excitement Into Words | 4 | mysterious | Knowing Where It Starts | The Legend Still Vivid | https://storage.sekai.best/sekai-en-assets/character/member/res012_no014/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no014/card_after_training.png
437 | 2023-05-20 | Your Stomach Doesn't Lie | 3 | mysterious | As Teammates With The Same Dream | THE POWER OF UNITY | https://storage.sekai.best/sekai-en-assets/character/member/res012_no016/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no016/card_after_training.png
467 | 2023-07-11 | What Happened To What I Felt | 2 | pure | Memories Of This City | The Vivid Old Tale | https://storage.sekai.best/sekai-en-assets/character/member/res012_no018/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no018/card_after_training.png
504 | 2023-09-20 | From Now On, Always | 4 | cool | Looking For "Our Sound" | Walk on and on | https://storage.sekai.best/sekai-en-assets/character/member/res012_no020/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no020/card_after_training.png
