【Aoyagi Toya - Special】

Character: Aoyagi Toya
Category: Special
Count: 10

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
227 | 2022-06-10 | A Love Song Dedicated To You | 4 | cute | An Ever Expanding World | An Ode for the Pure of Heart | https://storage.sekai.best/sekai-en-assets/character/member/res012_no010/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no010/card_after_training.png
403 | 2023-03-30 | Feelings That Were Buried | 4 | happy | Even If I Still Can't Reach It |  | https://storage.sekai.best/sekai-en-assets/character/member/res012_no015/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no015/card_after_training.png
477 | 2023-07-31 | Popping Puyos At Lightspeed | 4 | cute | A Carefully Picked Team Name | close game/OFFLINE | https://storage.sekai.best/sekai-en-assets/character/member/res012_no019/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no019/card_after_training.png
600 | 2024-02-29 | Amid Unchanging Warmth | 4 | mysterious | Warmth That Floods The Heart | Never Give Up Cooking! | https://storage.sekai.best/sekai-en-assets/character/member/res012_no023/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no023/card_after_training.png
851 | 2025-01-09 | Vivid Monochrome | 4 | cool | Familiar Streets Of Vienna | Break Down the Wall | https://storage.sekai.best/sekai-en-assets/character/member/res012_no031/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no031/card_after_training.png
917 | 2025-04-30 | Fear That I've Felt | 4 | cool | That Brightness Renewed | Whip Yourself into Shape! | https://storage.sekai.best/sekai-en-assets/character/member/res012_no034/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no034/card_after_training.png
1008 | 2025-09-30 | After-School Assistance | 4 | pure | Shared Understanding | Here on Our Dream Stage | https://storage.sekai.best/sekai-en-assets/character/member/res012_no038/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no038/card_after_training.png
1154 | 2026-04-08 | Tracing Brilliant Memories | 4 | cool | Good morning! | Turning Pain Into Drive | https://storage.sekai.best/sekai-en-assets/character/member/res012_no044/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no044/card_after_training.png
1181 | 2026-05-31 | Delicious Cultural Exposure | 4 | cute | Acting On Gratitude | Aim Higher and Higher! | https://storage.sekai.best/sekai-en-assets/character/member/res012_no046/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no046/card_after_training.png
1214 | 2026-07-31 | The Best Souvenirs! | 4 | happy | Far From The Heart | Competitive Fire! | https://storage.sekai.best/sekai-en-assets/character/member/res012_no047/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res012_no047/card_after_training.png
