【Tenma Tsukasa - Special】

Character: Tenma Tsukasa
Category: Special
Count: 10

---- Card ID | Released | Card Name | Rarity | Attribute | Skill | Event | Image (Normal) | Image (Trained) ----
293 | 2022-10-01 | Backstage Encouragement | 4 | pure | Strength From Smiles | Scramble Fan Festival! | https://storage.sekai.best/sekai-en-assets/character/member/res013_no012/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no012/card_after_training.png
385 | 2023-02-28 | An Emergency Meeting?! | 4 | mysterious | Chocolate Pegasus! | A Gentleman Thief's Thrilling White Day?! | https://storage.sekai.best/sekai-en-assets/character/member/res013_no015/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no015/card_after_training.png
565 | 2023-12-31 | Man Of Festivity | 4 | mysterious | Prosperity! | Happy New Year! Lion Dance Robot's New Year's Show! | https://storage.sekai.best/sekai-en-assets/character/member/res013_no020/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no020/card_after_training.png
674 | 2024-06-30 | Let's Settle This Now! | 4 | happy | A Star's Craft? | An Unmissable Spirited Affair | https://storage.sekai.best/sekai-en-assets/character/member/res013_no025/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no025/card_after_training.png
764 | 2024-09-30 | We're Classmates?! | 4 | cute | My New Running Shoes! | Hello to a New Day! | https://storage.sekai.best/sekai-en-assets/character/member/res013_no029/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no029/card_after_training.png
884 | 2025-03-08 | Reaching For Great Heights | 4 | pure | To Reach That Star One Day | With Your Sights on Stardom, Set Sail! | https://storage.sekai.best/sekai-en-assets/character/member/res013_no033/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no033/card_after_training.png
896 | 2025-03-30 | Our Way Home | 4 | happy | Can't Show Little Sis |  | https://storage.sekai.best/sekai-en-assets/character/member/res013_no034/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no034/card_after_training.png
1169 | 2026-05-09 | Unwavering Resolve | 4 | mysterious | Making Dreams Come True | Dear My Fellows | https://storage.sekai.best/sekai-en-assets/character/member/res013_no045/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no045/card_after_training.png
1197 | 2026-07-07 | Taking The Stage | 4 | happy | Enjoying The Challenge | Deeper and Deeper | https://storage.sekai.best/sekai-en-assets/character/member/res013_no047/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no047/card_after_training.png
1229 | 2026-08-30 | Sinking Into Despair | 4 | cool | Invigorating Support | Deep Dark for Light | https://storage.sekai.best/sekai-en-assets/character/member/res013_no048/card_normal.png | https://storage.sekai.best/sekai-en-assets/character/member/res013_no048/card_after_training.png
