【MEIKO - Cards】

Name: MEIKO
Card Count: 48

---- Released | Card Name | Rarity | Attribute | Skill | Event ----
2021-12-07 | Red Melody | 1 | cool | Clap To The Beat! | 
2021-12-07 | Street SEKAI | 2 | pure | It's Good To Be The Boss | 
2021-12-07 | A Quality Blend | 3 | mysterious | Here's Your Drink | 
2022-01-01 | Warm Gaze | 2 | happy | Opening Shop Together! | Singing in Sync
2022-02-02 | Tell Me About Your Christmas♪ | 4 | cute | Wonderful Idea! | On This Holy Night, I Sing
2022-02-18 | Third Senpai | 4 | happy | Sparkling Melody | Don't Let Doubts Hold You Back
2022-05-01 | Necessary Distance | 4 | cute | Under Observation | Secret Distance
2022-05-09 | Looking For Answers | 2 | pure | As One Of Your Seniors | Resonating with you
2022-06-02 | A New Face Who Looks Good In Red! | 3 | pure | Ketchup Art Service♪ | You deserve it! Break Time!
2022-07-12 | Talking Coffee Time | 4 | cute | A Gentle Gaze | Awakening Beat
2022-08-30 | Use A Rabbit As A Springboard?! | 4 | cute | MEIKO's Moon Viewing Show! | The Moon Rabbit & Us
2022-10-28 | The Scales Of Justice | 3 | cool | A Red Guide | What lies behind. What lies ahead.
2022-11-05 | Happy Anniversary! | bd | pure | The Dependable Lady | 
2022-12-14 | The Evil Food Eater | 4 | mysterious | Unyielding Gluttony | 
2023-01-12 | Where Is The Crying Coming From? | 4 | cool | Lots Of Dreams | Popping in My Heart!
2023-03-30 | Spring Menu Tasting | 3 | cute | Spring-Colored Crase Cafe | Connected Through SEKAI's Cherry Blossoms
2023-05-31 | For All Your Hard Work | 4 | pure | Feeling A Connection | Wishing to the Blue Sky for Your Happiness!
2023-06-20 | A Challenging Spirit! | 3 | happy | It's Always Good To Be Prepared | Desperate Times?! Island Panic!
2023-08-10 | Let's Start With Some Sit-Ups | 4 | cool | The Rewards Of Special Training | Chasing The Sparkle Beyond the Blue Sky
2023-11-05 | Happy Anniversary! 2023 | bd | mysterious | Fun Times Forever | 
2023-11-30 | As A Fan | 4 | pure | I Feel This Because You're Important | Beyond The Dream of That Day
2024-02-10 | To Be More And More Supportive | 2 | cute | For Them Moving Forward | At The End of The Unraveled Thread
2024-03-11 | Strength From Kindness | 2 | mysterious | A Marathon In Wonderland | The Phoenix in the Distant Sky
2024-04-11 | Dependable Warmth | 4 | pure | Their Strong And Gentle Beat | Get Over It
2024-08-21 | Narrator Of Happiness | 4 | happy | Guarding Their Bright Dreams | Our Happy Ending
2024-08-31 | Even Just A Little | 3 | happy | Supportive Song | Let SEKAI Hear Your Song!
2024-09-30 | Original Style | 2 | happy | Singing With Pride | 
2024-09-30 | Brand New Street | 2 | cool | MEIKO's Worries | 
2024-09-30 | A Name Held Dear | 4 | mysterious | A Lone Heroine | 
2024-11-05 | Happy Anniversary! 2024 | bd | cool | MEIKO's Hosting?! | 
2024-11-22 | Freewheeler With A Three-Wheeler | 4 | mysterious | Driving Skills Honed In SEKAI | Star of Your Own Story
2025-01-07 | Featuring nya・ni・nyu・nye・nyon | 2 | cute | Growing Kittens Need Their Sleep | 
2024-12-31 | Teach Us, Ms. Shiho! | 4 | mysterious | Secret Training? | Beside Unchanging Warmth
2025-01-10 | That Same Excitement | 2 | mysterious | Ever-Dependable Organizer | Break Down the Wall
2025-03-22 | Because They're Important | 4 | happy | Said Out Of Love | The First Concerto
2025-04-20 | Who We Are | 4 | happy | On Lunch Duty Today! | Parallel Harmonies
2025-06-30 | Feeling What My Selves Feel | 4 | cool | An Unexpected Side? | 
2025-08-17 | With A Soothing Fragrance | 4 | pure | My Calling | With You at SEKAI's Beginnings
2025-09-10 | Training For A Dream♪ | 3 | happy | Selfless Guinea Pigs | Get Fit & Fly! Muscle Training!
2025-11-05 | Happy Anniversary! 2025 | bd | cute | My Best Yet | 
2025-11-30 | What I Need To Do | 4 | cool | To Let Those Feelings Be Heard | With Our Wounded Hands
2025-04-28 | Let's Enjoy The Movie! | 2 | cool | Excited For The Food | 
2026-02-20 | Wink, I Was Never Here! | 4 | cute | Heartwarming Tales | Yesteryear Read-Aloud
2026-02-28 | A Clever Idea | 2 | cute | Message Card Fairy | Connect Hearts Message
2026-05-23 | MORE MORE Training! | 4 | happy | MEIKO's Friendly Advice Service♪ | Cheer With My Heart!
2026-07-15 | Heat's My Game | 2 | happy | How We Can Help | Unsteady, Still Steady Step
2026-09-06 | Feasting Like A Queen! | 4 | happy | Our Epilogue | Link the Beats!
2026-08-04 | Featuring Ichigotchi | 2 | pure | Let's Dance♪ | 
