【KAITO - 新队服】

角色: KAITO
分类: 新队服
数量: 33

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
105 | 2024-01-01 | 凉爽的蓝色旋律 | 1 | cute | 歌曲的存在感 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no001/card_after_training.png
106 | 2024-01-01 | 奇幻乐园「世界」 | 2 | cute | 向着最精彩的演出而努力 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no002/card_after_training.png
107 | 2024-01-01 | 剧团成员招募中！ | 3 | cool | 当团长好辛苦！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no003/card_after_training.png
121 | 2024-01-01 | 和迷茫的人谈心 | 4 | happy | 引导者 | 全力以赴！奇幻万圣节！ | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no006/card_after_training.png
140 | 2024-01-01 | 秘密的演技指导 | 4 | mysterious | 再次体会那份感动 | 神山高校校园庆典！ | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no007/card_after_training.png
214 | 2024-01-01 | 开朗DJ现身？ | 4 | happy | 坚持与热情 | STRAY BAD DOG | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no008/card_after_training.png
236 | 2024-01-01 | 柴郡猫与微笑 | 2 | cool | 笑容与笑容相连 | 奇幻魔法表演时间！ | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no009/card_after_training.png
272 | 2024-01-01 | 团长的休假日 | 3 | happy | 实现的愿望 | 对美人鱼充满憧憬 | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no010/card_after_training.png
280 | 2024-01-01 | 诉诸于音乐的合奏 | 4 | mysterious | 开启崭新的大门 | Knock the Future!! | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no011/card_after_training.png
333 | 2024-01-01 | 偶像兼经纪人？！ | 3 | pure | 值得大家依靠的大哥 | MOREMOREMakingXmas | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no012/card_after_training.png
382 | 2024-01-01 | 不太习惯的热闹景象 | 4 | pure | 不会尴尬的距离感 | 那一天，天空遥不可及 | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res026_no015/card_after_training.png
