【MEIKO - 4星】

角色: MEIKO
分类: 4星
数量: 23

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
146 | 2024-01-01 | 告诉我！大家的圣诞节♪ | 4 | cute | 绝佳的想法！ | 让歌声响彻，神圣之夜 | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no006/card_after_training.png
156 | 2024-01-01 | 第三位学姐！ | 4 | happy | 熠熠生辉的旋律 | 即使摇摆不定，但毅然勇往直前 | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no007/card_after_training.png
203 | 2024-01-01 | 保持必要距离 | 4 | cute | 静观全程 | Secret Distance | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no008/card_after_training.png
251 | 2024-01-01 | 喝杯咖啡聊聊天 | 4 | cute | 温柔的目光 | Awakening Beat | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no011/card_after_training.png
276 | 2024-01-01 | 策划会议的建议是兔子？！ | 4 | cute | MEIMEI面貌一新的赏月演唱会！ | 两人与月兔 | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no012/card_after_training.png
358 | 2024-01-01 | 哭声是从哪里传来的？ | 4 | cool | 数不清的梦想 | POP IN MY HEART!! | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no016/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no016/card_after_training.png
442 | 2024-01-01 | 赠予努力的你 | 4 | pure | 感受心意相通 | 向晴空许愿Your Happiness! | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no018/card_after_training.png
483 | 2024-01-01 | 先强化腹肌吧！ | 4 | cool | 特训的收获 | 在蓝天下追逐光芒 | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no020/card_after_training.png
547 | 2024-01-01 | 作为一个粉丝 | 4 | pure | 因为重视，所以想说 | 昨日梦想的延续 | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no022/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no022/card_after_training.png
626 | 2024-01-01 | 可靠的温暖 | 4 | pure | 守望的节拍，强劲又温柔 | Get over it. | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no025/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res025_no025/card_after_training.png
