【星乃一歌 - 新队服】

角色: 星乃一歌
分类: 新队服
数量: 30

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
1 | 2024-01-01 | 外表帅气且为朋友着想 | 1 | cool | 身边的小花 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no001/card_after_training.png
2 | 2024-01-01 | Leo/need | 2 | happy | 尽全力去押韵 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no002/card_after_training.png
3 | 2024-01-01 | 仰望天空尽头 | 3 | mysterious | 迈出第一步 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no003/card_after_training.png
4 | 2024-01-01 | 黎明前的倾诉 | 4 | cute | 挥去不安 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no004/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no004/card_after_training.png
113 | 2024-01-01 | 星之舞步 | 2 | pure | 跳跃之星 | 雨过天晴的启明星 | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no005/card_after_training.png
157 | 2024-01-01 | 重拾笑容 | 4 | happy | 提升演奏水平计划？！ | 即使摇摆不定，但毅然勇往直前 | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no006/card_after_training.png
197 | 2024-01-01 | 祈愿天晴 | 4 | pure | 大家一起去赏花！ | 在樱花烂漫的世界中与你高歌 | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no007/card_after_training.png
210 | 2024-01-01 | 传递我的心愿 | 3 | happy | 音乐最令人愉悦的瞬间 | Resonate with you | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no008/card_after_training.png
248 | 2024-01-01 | 等待雨晴的雨伞 | 2 | cute | 下次就让我们说出自己的话语 | Unnamed Harmony | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no009/card_after_training.png
279 | 2024-01-01 | 串连彼此心愿的星星手势 | 4 | mysterious | 想传达的话语 | Knock the Future!! | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no010/card_after_training.png
316 | 2024-01-01 | 新歌的方向 | 3 | cute | 成为职业乐队的必经之路 | 矢志不摇的心愿，此刻以话语传达 | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no012/card_after_training.png
381 | 2024-01-01 | 你听到我说的话了？！ | 4 | pure | 无限夸夸券 | 那一天，天空遥不可及 | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no014/card_after_training.png
416 | 2024-01-01 | 不假思索的举动 | 4 | mysterious | 将这份心愿传递出去 | Live with memories | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no015/card_after_training.png
462 | 2024-01-01 | 一定要主动些才行 | 2 | cool | 愿意套上泡泡吗？ | 大家一起欢享！SPOJOYPARK | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no016/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no016/card_after_training.png
470 | 2024-01-01 | 倾听你的歌声 | 4 | cute | 让我为你分担苦痛 | No seek No find | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no017/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no017/card_after_training.png
535 | 2024-01-01 | 相连的音色 | 4 | happy | 作为感谢的非洲菊 | Echo my melody | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no020/card_after_training.png
