【星乃一歌 - 特典】

角色: 星乃一歌
分类: 特典
数量: 10

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
290 | 2024-01-01 | 过去仰望的星空 | 4 | cool | 回忆中的攀登架 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no011/card_after_training.png
325 | 2024-01-01 | CD带来的邂逅 | 4 | cute | 作词方面的前辈 | 交织的旋律 点亮的温暖 | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no013/card_after_training.png
494 | 2024-01-01 | 等待灵感 | 4 | pure | 偷偷围个圈 | Don't lose faith! | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no019/card_after_training.png
583 | 2024-01-01 | 暮色中的温暖 | 4 | cool | 激动·紧张·情人节 | 蜡烛的芬芳萦绕于往昔的回忆 | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no022/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no022/card_after_training.png
762 | 2025-02-28 | 新事物的开始 | 4 | cute | 练习的足迹 | Hello·Good·Day！ | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no028/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no028/card_after_training.png
879 | 2024-01-01 | 在烦恼的两人面前 | 4 | happy | 向关键人物道谢 | Relax Teatime | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no033/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no033/card_after_training.png
961 | 2025-07-20 | 我们的旅程 | 4 | mysterious | 克服不习惯 | 那天仰望的夜空，将通向我们的未来 | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no035/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no035/card_after_training.png
1023 | 2025-10-31 | 和平时不一样的自己 | 4 | happy | 泡泡美味·高校 | Happy Enjoy Music！ | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no038/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no038/card_after_training.png
1147 | 2026-03-27 | 倾尽全力传递音乐 | 4 | cool | 声声相印 | Find the dream view | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no042/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no042/card_after_training.png
1189 | 2026-06-23 | 抓不住的“心愿” | 4 | pure | 倾注心声的一曲 | ordinary,yet special us | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no043/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res001_no043/card_after_training.png
