【青柳冬弥 - 特典】

角色: 青柳冬弥
分类: 特典
数量: 10

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
227 | 2024-01-01 | 献给你的情歌 | 4 | cute | 越发广阔的世界 | 为纯白的你唱响誓言之歌！ | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no010/card_after_training.png
403 | 2024-01-01 | 默默埋藏的心愿 | 4 | happy | 就算现在还无法触碰 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no015/card_after_training.png
477 | 2024-01-01 | 令人目不暇接的魔法气泡高手 | 4 | cute | 最棒的队名 | close game/OFFLINE | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no019/card_after_training.png
600 | 2024-01-01 | 在不变的温暖中 | 4 | mysterious | 心中回荡的温暖 | Never Give Up Cooking！ | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no023/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no023/card_after_training.png
851 | 2025-06-12 | 黑白的色彩 | 4 | cool | 曾经见过的维也纳街景 | BREAK DOWN THE WALL | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no031/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no031/card_after_training.png
917 | 2025-05-12 | 害怕之情 | 4 | cool | 将那天耀眼的光芒，带回此刻 | Whip the wimp girl!! | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no034/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no034/card_after_training.png
1008 | 2025-09-27 | 放学后帮个小忙 | 4 | pure | 共识与共同语言 | 承载心愿！Dream Stage | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no038/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no038/card_after_training.png
1154 | 2026-04-08 | 追寻闪耀的记忆 | 4 | cool | “早上好！” | Turning Pain into Drive | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no044/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no044/card_after_training.png
1181 | 2026-05-31 | 美食文化交流 | 4 | cute | 把谢意化作行动 | Aim higher and higher！ | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no046/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no046/card_after_training.png
1214 | 2026-07-31 | 最棒的伴手礼！ | 4 | happy | 真髓尚远 | Competitive fire！ | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no047/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res012_no047/card_after_training.png
