【天马司 - 4星】

角色: 天马司
分类: 4星
数量: 24

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
120 | 2024-01-01 | 担惊受怕？！落荒而逃！ | 4 | happy | 这是团长的职责！ | 全力以赴！奇幻万圣节！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no005/card_after_training.png
141 | 2024-01-01 | 我是主角！ | 4 | mysterious | 出人意料的爆笑结局 | 神山高校校园庆典！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no006/card_after_training.png
186 | 2024-01-01 | 哥哥的烦恼 | 4 | pure | 怀着期待的心情熟睡！ | 天马家的女儿节 | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no010/card_after_training.png
232 | 2024-01-01 | 何去何从 | 4 | cool | 迈向下一个舞台！ | 奇幻魔法表演时间！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no011/card_after_training.png
293 | 2024-01-01 | 后台的鼓励 | 4 | pure | 笑容带来的力量 | 缤纷粉丝节！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no012/card_after_training.png
357 | 2024-01-01 | Dance！and！sing！ | 4 | cool | 在梦幻乐园看到的演技 | POP IN MY HEART!! | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no014/card_after_training.png
385 | 2024-01-01 | 紧急会议？！ | 4 | mysterious | 巧克力·珀加索斯！ | 慌慌张张？！怪盗绅士的白色情人节 | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no015/card_after_training.png
410 | 2024-01-01 | 星星的旋律 | 4 | cute | 离成为世界之星更进一步 | 在璀璨耀眼的舞台上 | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no016/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no016/card_after_training.png
451 | 2024-01-01 | 执着的追逐 | 4 | happy | 数日而归 | 危在旦夕？！无人岛绝处逢生！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no018/card_after_training.png
523 | 2024-01-01 | 受到刺激 | 4 | cool | 笔记反映的个性？ | 惜别谢幕 | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no019/card_after_training.png
565 | 2024-01-01 | 恭贺新年的男人 | 4 | mysterious | 准备，成长！ | 新春！舞狮机器人的新年演出！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no020/card_after_training.png
606 | 2024-01-01 | 映于泪目中的不死鸟 | 4 | cute | 哪怕再耀眼，也要看清楚 | 追寻翱翔于天际的凤凰 | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no022/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no022/card_after_training.png
674 | 2024-01-01 | 一决胜负！ | 4 | happy | 星星手工艺品？ | 一期一会的百鬼夜行？！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no025/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no025/card_after_training.png
764 | 2025-02-28 | 出乎意料的同学 | 4 | cute | 我的新跑鞋！ | Hello·Good·Day！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no029/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no029/card_after_training.png
791 | 2024-01-01 | 和小小主角一起 | 4 | mysterious | 那天的记忆成为背后的鼓励 | 以你为主角的故事 | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no030/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no030/card_after_training.png
