【天马司 - 新队服】

角色: 天马司
分类: 新队服
数量: 30

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
49 | 2024-01-01 | 终将成为明星！ | 1 | happy | 这代表我真诚的谢意 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no001/card_after_training.png
50 | 2024-01-01 | Wonderlands×Showtime | 2 | cute | 洗刷刷洗刷刷，冲呀！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no002/card_after_training.png
51 | 2024-01-01 | 来自玩偶装的问候 | 3 | mysterious | 对抗恶龙？！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no003/card_after_training.png
120 | 2024-01-01 | 担惊受怕？！落荒而逃！ | 4 | happy | 这是团长的职责！ | 全力以赴！奇幻万圣节！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no005/card_after_training.png
141 | 2024-01-01 | 我是主角！ | 4 | mysterious | 出人意料的爆笑结局 | 神山高校校园庆典！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no006/card_after_training.png
154 | 2024-01-01 | 新年全员出动 | 2 | pure | 不管有没有喝彩声都要全力投球！！ | 「世界」的Happy New Year！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no007/card_after_training.png
173 | 2024-01-01 | 介绍一下吧！！ | 3 | cool | 让全宇宙都充满欢笑！ | 回响于耳畔的暮色巡游 | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no008/card_after_training.png
184 | 2024-01-01 | 气球艺术表演者 | 2 | happy | 自封宇宙第一哥哥的愤怒 | 梦想家的笑容 | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no009/card_after_training.png
186 | 2024-01-01 | 哥哥的烦恼 | 4 | pure | 怀着期待的心情熟睡！ | 天马家的女儿节 | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no010/card_after_training.png
232 | 2024-01-01 | 何去何从 | 4 | cool | 迈向下一个舞台！ | 奇幻魔法表演时间！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no011/card_after_training.png
304 | 2024-01-01 | 军官的危机 | 3 | happy | 一起来用防虫喷雾？ | 重燃的梦想 | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no013/card_after_training.png
357 | 2024-01-01 | Dance！and！sing！ | 4 | cool | 在梦幻乐园看到的演技 | POP IN MY HEART!! | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no014/card_after_training.png
