【天马司 - 特典】

角色: 天马司
分类: 特典
数量: 10

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
293 | 2024-01-01 | 后台的鼓励 | 4 | pure | 笑容带来的力量 | 缤纷粉丝节！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no012/card_after_training.png
385 | 2024-01-01 | 紧急会议？！ | 4 | mysterious | 巧克力·珀加索斯！ | 慌慌张张？！怪盗绅士的白色情人节 | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no015/card_after_training.png
565 | 2024-01-01 | 恭贺新年的男人 | 4 | mysterious | 准备，成长！ | 新春！舞狮机器人的新年演出！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no020/card_after_training.png
674 | 2024-01-01 | 一决胜负！ | 4 | happy | 星星手工艺品？ | 一期一会的百鬼夜行？！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no025/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no025/card_after_training.png
764 | 2025-02-28 | 出乎意料的同学 | 4 | cute | 我的新跑鞋！ | Hello·Good·Day！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no029/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no029/card_after_training.png
884 | 2025-04-18 | 向更高的目标伸手 | 4 | pure | 总有一天会成为那颗星星 | 向着星星，启航！ | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no033/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no033/card_after_training.png
896 | 2024-01-01 | 你和我的回家之路 | 4 | happy | 正因为是妹妹才不知道的表情 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no034/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no034/card_after_training.png
1169 | 2026-05-09 | 心怀决心 | 4 | mysterious | 梦境成真 | Dear my fellows | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no045/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no045/card_after_training.png
1197 | 2026-07-04 | 登上舞台吧 | 4 | happy | 享受困难 | Deeper and deeper | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no047/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no047/card_after_training.png
1229 | 2026-08-30 | 潜入绝望 | 4 | cool | 从加油中获得力量 | Deep Dark For Light | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no048/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res013_no048/card_after_training.png
