【天马咲希 - 4星】

角色: 天马咲希
分类: 4星
数量: 23

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
109 | 2024-01-01 | 雨的距离 | 4 | mysterious | 颗颗流星划过 | 雨过天晴的启明星 | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no005/card_after_training.png
185 | 2024-01-01 | 最棒的女儿节！ | 4 | pure | 明年揭晓的秘密 | 天马家的女儿节 | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no009/card_after_training.png
209 | 2024-01-01 | 窗边谈心 | 4 | cool | 青春不只是玩乐 | Resonate with you | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no010/card_after_training.png
244 | 2024-01-01 | 触及到的心愿 | 4 | happy | 晴空朗朗，音色璀璨 | Unnamed Harmony | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no011/card_after_training.png
260 | 2024-01-01 | 魔术表演的助手！ | 4 | pure | 为了和大家联系在一起 | 这一定是最棒的summer！ | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no012/card_after_training.png
315 | 2024-01-01 | 为了下一场演出！ | 4 | cool | 新·想做的100件事 | 矢志不摇的心愿，此刻以话语传达 | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no014/card_after_training.png
369 | 2024-01-01 | 意外的电话 | 4 | happy | 另一个惊喜♪ | 秘密♡情人节大作战！ | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no015/card_after_training.png
417 | 2024-01-01 | 举杯畅饮最棒的饮料！ | 4 | mysterious | 我也要写出动人心弦的歌曲 | Live with memories | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no017/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no017/card_after_training.png
469 | 2024-01-01 | 记忆的深渊 | 4 | cute | 像蛋筒冰淇淋的云朵 | No seek No find | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no019/card_after_training.png
495 | 2024-01-01 | 长出一身肌肉了？！ | 4 | pure | 脸最好还是软乎乎的 | Don't lose faith! | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no020/card_after_training.png
577 | 2024-01-01 | 迷迷糊糊的美术课 | 4 | cute | 学校里常见的事？ | Little Bravers！ | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no022/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no022/card_after_training.png
624 | 2024-01-01 | 做好接受一切的觉悟 | 4 | pure | 名为前进的决心 | Get over it. | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no024/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no024/card_after_training.png
690 | 2024-01-01 | 在隔板背后 | 4 | mysterious | 大家一起看节目！ | 手忙脚乱cafe ●REC!! | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no028/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no028/card_after_training.png
714 | 2024-01-01 | 拥抱回忆 | 4 | happy | 最想实现的心愿 | 和你创造的Precious memories | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no029/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no029/card_after_training.png
895 | 2024-01-01 | 飞向天空的祈祷 | 4 | cute | 自由的庭院 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no035/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no035/card_after_training.png
909 | 2025-05-05 | 只剩一人的房间 | 4 | happy | 好吃又开心的报答♪ | Parallel Harmonies | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no036/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no036/card_after_training.png
962 | 2025-07-20 | 因为四个人在一起 | 4 | cool | 一步一个脚印走过的路 | 那天仰望的夜空，将通向我们的未来 | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no038/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no038/card_after_training.png
999 | 2025-09-22 | 那天的憧憬 | 4 | mysterious | 青春的事就交给我吧♪ | This moment with you！ | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no040/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no040/card_after_training.png
1022 | 2025-10-31 | 充满着快乐和幸福的演奏 | 4 | happy | 记得检查随身携带的物品 | Happy Enjoy Music！ | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no041/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no041/card_after_training.png
1098 | 2026-01-21 | 谢意满满！ | 4 | cool | 理想中的穿搭 | Show your shine | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no044/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no044/card_after_training.png
1127 | 2026-02-28 | 举步维艰！策划会议 | 4 | pure | 传递心意的留言 | Connect hearts message | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no045/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no045/card_after_training.png
1190 | 2026-06-23 | Ace player！ | 4 | cute | 更加珍惜与大家的时光 | ordinary,yet special us | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no048/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no048/card_after_training.png
1255 | 2026-09-27 | Lucky ice！ | 4 | pure | 满载期待的行囊 | Our Golden Days | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no049/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res002_no049/card_after_training.png
