【草薙宁宁 - 新队服】

角色: 草薙宁宁
分类: 新队服
数量: 30

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
57 | 2024-01-01 | 爱损人的社交恐惧者 | 1 | cool | 无法集中注意力…… |  | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no001/card_after_training.png
58 | 2024-01-01 | Wonderlands×Showtime | 2 | cool | 有宁宁机器人陪我 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no002/card_after_training.png
59 | 2024-01-01 | 正在后台工作 | 3 | pure | 欢乐又神奇的伙伴们！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no003/card_after_training.png
123 | 2024-01-01 | 奇幻手杖 | 2 | mysterious | 重要的朋友 | 全力以赴！奇幻万圣节！ | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no005/card_after_training.png
142 | 2024-01-01 | 动物棉花糖♪ | 3 | mysterious | 欢……欢迎光临 | 神山高校校园庆典！ | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no006/card_after_training.png
144 | 2024-01-01 | 来自天上的礼物 | 4 | cute | 开开心心热热闹闹 | 让歌声响彻，神圣之夜 | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no007/card_after_training.png
234 | 2024-01-01 | 你给予我的自信 | 4 | cool | 珍惜将来 | 奇幻魔法表演时间！ | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no009/card_after_training.png
269 | 2024-01-01 | 放烟花庆祝 | 4 | pure | 赐予我勇气的歌 | 对美人鱼充满憧憬 | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no010/card_after_training.png
303 | 2024-01-01 | 怕生的来客 | 4 | happy | 新的挑战 | 重燃的梦想 | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no011/card_after_training.png
359 | 2024-01-01 | 我还以为我要不行了 | 3 | happy | 给大家的伴手礼 | POP IN MY HEART!! | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no013/card_after_training.png
411 | 2024-01-01 | 小松鼠们的邀约 | 4 | cute | 些许的信任 | 在璀璨耀眼的舞台上 | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no014/card_after_training.png
450 | 2024-01-01 | 玩耍的回礼 | 4 | happy | 命悬一线的好友列表？！ | 危在旦夕？！无人岛绝处逢生！ | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no015/card_after_training.png
524 | 2024-01-01 | 儿时朋友的目光 | 4 | cool | 第一次给大家送东西 | 惜别谢幕 | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no018/card_after_training.png
568 | 2024-01-01 | 汽车之旅GO！GO！ | 3 | cute | 重要的新年目标 | 新春！舞狮机器人的新年演出！ | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no019/card_after_training.png
575 | 2024-01-01 | 靠自己学到的内容 | 2 | happy | 沟通的障碍 | 梦想的旅途，奔向闪耀的群星 | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no020/card_after_training.png
