【草薙宁宁 - 特典】

角色: 草薙宁宁
分类: 特典
数量: 10

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
181 | 2024-01-01 | 心愿信使 | 4 | mysterious | 愿你笑容常驻 | 梦想家的笑容 | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no008/card_after_training.png
348 | 2024-01-01 | 光辉灿烂的梦幻舞台 | 4 | mysterious | 总有一天要挺起胸膛说出答案 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no012/card_after_training.png
475 | 2024-01-01 | 不放过任何一个目标 | 4 | cute | 因为我们拥有相同的爱好 | close game/OFFLINE | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no017/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no017/card_after_training.png
584 | 2024-01-01 | 去想象对方 | 4 | cool | 收到了会开心吗……？ | 蜡烛的芬芳萦绕于往昔的回忆 | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no021/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no021/card_after_training.png
796 | 2024-01-01 | 为了最棒的电影 | 4 | pure | 来办庆功会吧！ | 最棒的杀青！ | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no030/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no030/card_after_training.png
886 | 2025-04-18 | 面对憧憬 | 4 | mysterious | 不甘和恐惧 | 向着星星，启航！ | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no033/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no033/card_after_training.png
934 | 2025-06-05 | 穿上心心念念的婚纱 | 4 | mysterious | 焦虑的等待 | 大家来直播♡WEDDING LIVE！ | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no035/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no035/card_after_training.png
1005 | 2025-09-27 | 承载梦想的旋律 | 4 | pure | 习惯真可怕 | 承载心愿！Dream Stage | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no038/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no038/card_after_training.png
1171 | 2026-05-09 | 心中的焦虑 | 4 | cool | 可以共同进步的喜悦 | Dear my fellows | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no044/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no044/card_after_training.png
1198 | 2026-07-04 | 正在购买慰问品 | 4 | happy | 英语也要认真学 | Deeper and deeper | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no045/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res015_no045/card_after_training.png
