【花里实乃理 - 4星】

角色: 花里实乃理
分类: 4星
数量: 24

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
130 | 2024-01-01 | 哎呀呀呀呀？！ | 4 | cute | 新的尝试 | 此时此地再次启程！ | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no005/card_after_training.png
190 | 2024-01-01 | 为了“你” | 4 | happy | 四人份的“更加更加” | 传递心声！充满希望的舞台♪ | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no007/card_after_training.png
224 | 2024-01-01 | 热情的应援！ | 4 | mysterious | 享受动物疗法 | 为努力的你营造闲暇时光！ | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no009/card_after_training.png
291 | 2024-01-01 | 伙伴们送上的祝福 | 4 | pure | 即使还不成熟，也要更加更加努力 | 缤纷粉丝节！ | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no011/card_after_training.png
330 | 2024-01-01 | 一起筹备粉丝见面会吧！ | 4 | mysterious | 迷你演唱会的安排 | MOREMOREMakingXmas | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no012/card_after_training.png
392 | 2024-01-01 | 激情的演讲！ | 4 | pure | 逐渐产生的职业素养 | Cast Spell on You | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no013/card_after_training.png
423 | 2024-01-01 | 第一次音域测试！ | 4 | cool | MORE MORE JUMP！的秘密？！ | 连接Painful Hope | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no015/card_after_training.png
459 | 2024-01-01 | 摔得光荣 | 4 | happy | 应该拥有小企的人是 | 大家一起欢享！SPOJOYPARK | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no016/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no016/card_after_training.png
517 | 2024-01-01 | 站到聚光灯下 | 4 | cute | 父母遗传？ | 致过去的我 | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no018/card_after_training.png
530 | 2024-01-01 | 脖子要断了！ | 4 | mysterious | 非常美喵的加油♪ | 尖叫？！欢迎来到大灰狼森林 | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no019/card_after_training.png
