【花里实乃理 - 新队服】

角色: 花里实乃理
分类: 新队服
数量: 31

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
17 | 2024-01-01 | 向着偶像努力！ | 1 | pure | 家练？ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no001/card_after_training.png
18 | 2024-01-01 | MORE MORE JUMP！ | 2 | cool | 宣传词笔记！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no002/card_after_training.png
19 | 2024-01-01 | 演唱会前夜的决心 | 3 | cute | 将这份心愿传达出去！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no003/card_after_training.png
130 | 2024-01-01 | 哎呀呀呀呀？！ | 4 | cute | 新的尝试 | 此时此地再次启程！ | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no005/card_after_training.png
164 | 2024-01-01 | 积极的小花 | 2 | pure | 追逐那个背影 | Color of Myself! | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no006/card_after_training.png
190 | 2024-01-01 | 为了“你” | 4 | happy | 四人份的“更加更加” | 传递心声！充满希望的舞台♪ | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no007/card_after_training.png
200 | 2024-01-01 | 扩大交友圈 | 3 | cool | 小小的宴会 | 在樱花烂漫的世界中与你高歌 | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no008/card_after_training.png
224 | 2024-01-01 | 热情的应援！ | 4 | mysterious | 享受动物疗法 | 为努力的你营造闲暇时光！ | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no009/card_after_training.png
268 | 2024-01-01 | 冒失的信使 | 2 | mysterious | 全世界独一无二的签名 | Happy lovely everyday! | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no010/card_after_training.png
330 | 2024-01-01 | 一起筹备粉丝见面会吧！ | 4 | mysterious | 迷你演唱会的安排 | MOREMOREMakingXmas | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no012/card_after_training.png
392 | 2024-01-01 | 激情的演讲！ | 4 | pure | 逐渐产生的职业素养 | Cast Spell on You | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no013/card_after_training.png
484 | 2024-01-01 | 寄托心愿的冰沙 | 3 | pure | 用打西瓜特训！ | 在蓝天下追逐光芒 | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no017/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no017/card_after_training.png
517 | 2024-01-01 | 站到聚光灯下 | 4 | cute | 父母遗传？ | 致过去的我 | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res005_no018/card_after_training.png
