【小豆泽心羽 - 新队服】

角色: 小豆泽心羽
分类: 新队服
数量: 29

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
33 | 2024-01-01 | 腼腆的小动物 | 1 | pure | 菲尼乐园狂热爱好者的实力 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no001/card_after_training.png
34 | 2024-01-01 | Vivid BAD SQUAD | 2 | mysterious | 不会错过任何按快门的机会 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no002/card_after_training.png
35 | 2024-01-01 | 在「世界」小憩 | 3 | cool | 呼——呼—— |  | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no003/card_after_training.png
135 | 2024-01-01 | 再次与你并肩 | 4 | cool | 把后背放心交给我！ | 总有一天为你献上心连心的抒情诗 | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no005/card_after_training.png
168 | 2024-01-01 | 忧郁之夜 | 3 | pure | 晴空之下 | Period of NOCTURNE | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no006/card_after_training.png
199 | 2024-01-01 | 追逐大家的背影 | 4 | pure | 最强新人？ | 在樱花烂漫的世界中与你高歌 | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no007/card_after_training.png
215 | 2024-01-01 | 渴望共同进步 | 3 | mysterious | 兼顾学业 | STRAY BAD DOG | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no008/card_after_training.png
249 | 2024-01-01 | 觉醒隐藏的力量 | 4 | cute | 并肩迈出的一步 | Awakening Beat | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no009/card_after_training.png
263 | 2024-01-01 | 寄托心愿的海玻璃 | 2 | cool | 新的歌声 | 这一定是最棒的summer！ | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no010/card_after_training.png
319 | 2024-01-01 | 两人之间的秘密 | 4 | happy | 抓拍的机会！ | 搭档·趣事·欢乐时刻♪ | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no012/card_after_training.png
345 | 2024-01-01 | 温暖的露营风 | 2 | cute | 用扑克牌对决！ | Same Dreams,Same Colors | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no013/card_after_training.png
373 | 2024-01-01 | 了解那场“传奇” | 4 | mysterious | 用歌声描绘景色 | Legend still vivid | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no015/card_after_training.png
435 | 2024-01-01 | 获得表扬了♪ | 4 | cute | 街道·景色·空气etc. | THE POWER OF UNITY | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no017/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no017/card_after_training.png
444 | 2024-01-01 | 美丽伴娘 | 2 | happy | 拍摄的间歇 | 向晴空许愿Your Happiness! | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no018/card_after_training.png
466 | 2024-01-01 | 喝杯柠檬水放松一下♪ | 3 | happy | 一起去街上走走！ | The Vivid Old Tale | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no019/card_after_training.png
505 | 2024-01-01 | 午夜创作 | 4 | cool | 收集感受到的兴奋与心跳 | Walk on and on | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no020/card_after_training.png
554 | 2024-01-01 | 圣诞节已近在眼前 | 3 | cute | 回家途中的闲聊 | Find A Way Out | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no022/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no022/card_after_training.png
595 | 2024-01-01 | 巅峰之后 | 4 | happy | 重要的瞬间，不经意的瞬间 | Kick it up a notch | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no023/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no023/card_after_training.png
663 | 2024-01-01 | 最后的练习 | 2 | pure | 不同于往日的早晨 | Light Up the Fire | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no025/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no025/card_after_training.png
694 | 2024-01-01 | 用我自己的语言 | 4 | pure | 歌手的对话 | On Your Feet | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no027/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no027/card_after_training.png
732 | 2025-02-28 | Brand New Style | 2 | happy | 心跳加速的会面 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no028/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no028/card_after_training.png
766 | 2025-02-28 | 向着新的早晨 | 3 | cool | 切身体会到成长 | Hello·Good·Day！ | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no029/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no029/card_after_training.png
769 | 2024-01-01 | 不能睡着 | 4 | cute | 等我再成熟一点 | BURN MY SOUL | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no030/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no030/card_after_training.png
894 | 2024-01-01 | 有很多话可以说！ | 2 | cute | 爸爸来袭？！ | The first concerto | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no035/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no035/card_after_training.png
