【小豆泽心羽 - 特典】

角色: 小豆泽心羽
分类: 特典
数量: 10

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
292 | 2024-01-01 | 笑梦流？舞蹈秘诀！ | 4 | pure | 音乐带来的邂逅 | 缤纷粉丝节！ | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no011/card_after_training.png
352 | 2024-01-01 | 迎接第一道曙光 | 4 | cute | 我们的绘马 | 祈愿的未来 憧憬的明天 | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no014/card_after_training.png
528 | 2024-01-01 | 我会保护你 | 4 | mysterious | 在追逐背后 | 尖叫？！欢迎来到大灰狼森林 | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no021/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no021/card_after_training.png
670 | 2024-01-01 | 足迹万花筒 | 4 | cool | 歌即是我 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no026/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no026/card_after_training.png
848 | 2025-06-12 | 迈向激动人心的未来 | 4 | happy | 只要还有这份痛楚 | BREAK DOWN THE WALL | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no032/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no032/card_after_training.png
861 | 2024-01-01 | 为伙伴们送上最棒的巧克力 | 4 | mysterious | 不期而遇？！ | Take the Best Shot！ | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no033/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no033/card_after_training.png
916 | 2025-05-12 | 接受你的一切 | 4 | cool | 只要我们一起唱下去 | Whip the wimp girl!! | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no036/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no036/card_after_training.png
951 | 2025-07-05 | 激动人心的世界 | 4 | mysterious | 最适合的人选 | OVER RAD SQUAD!! | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no037/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no037/card_after_training.png
1151 | 2026-04-08 | 暮色中的笑容 | 4 | mysterious | 直击心灵的声音 | Turning Pain into Drive | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no044/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no044/card_after_training.png
1180 | 2026-05-31 | 心中的余热 | 4 | cute | 由歌声相连的世界 | Aim higher and higher！ | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no045/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res009_no045/card_after_training.png
