【日野森志步 - 新队服】

角色: 日野森志步
分类: 新队服
数量: 32

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
13 | 2024-01-01 | 不合群的独狼 | 1 | happy | 无微不至的照顾很重要 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no001/card_after_training.png
14 | 2024-01-01 | Leo/need | 2 | mysterious | 就是因为这个…… |  | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no002/card_after_training.png
15 | 2024-01-01 | 难忘的旋律 | 3 | cute | 令人怀念的回忆 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no003/card_after_training.png
111 | 2024-01-01 | 隐藏在表面下的热度 | 4 | mysterious | 一等星的信号 | 雨过天晴的启明星 | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no005/card_after_training.png
159 | 2024-01-01 | 各种各样的温柔 | 2 | cute | 尽量温柔一些…… | 即使摇摆不定，但毅然勇往直前 | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no006/card_after_training.png
170 | 2024-01-01 | 友情与忧郁 | 4 | cute | 无法下定的决心 | 回响于耳畔的暮色巡游 | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no007/card_after_training.png
207 | 2024-01-01 | 豁然开朗的答案 | 4 | cool | 今后也要在一起 | Resonate with you | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no008/card_after_training.png
246 | 2024-01-01 | 午休时的谈心 | 4 | happy | 在暗淡的阳光下调音 | Unnamed Harmony | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no009/card_after_training.png
282 | 2024-01-01 | 接下来是总结会 | 3 | pure | 同伴间的信赖 | Knock the Future!! | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no011/card_after_training.png
314 | 2024-01-01 | 尖锐的话语 | 4 | cool | 传言的真相 | 矢志不摇的心愿，此刻以话语传达 | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no012/card_after_training.png
354 | 2024-01-01 | 不管是音乐之路还是书法之路 | 2 | cool | 漂亮的助攻 | 祈愿的未来 憧憬的明天 | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no013/card_after_training.png
380 | 2024-01-01 | 曾经心怀的愿望 | 4 | pure | 梦境般的现实 | 那一天，天空遥不可及 | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no015/card_after_training.png
388 | 2024-01-01 | 饱含感谢之情 | 3 | mysterious | 偶尔自己动手做也不错 | 慌慌张张？！怪盗绅士的白色情人节 | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no016/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no016/card_after_training.png
419 | 2024-01-01 | 接下来的展开 | 3 | cool | 可丽饼派对 | Live with memories | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no017/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no017/card_after_training.png
473 | 2024-01-01 | 昂首挺胸一雪前耻 | 2 | happy | 正因为你是我重要的伙伴 | No seek No find | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no019/card_after_training.png
560 | 2024-01-01 | Leo/need一起玩雪 | 2 | pure | 雪兔的真相 | 在纯白世界拉弓引箭 | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no022/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no022/card_after_training.png
578 | 2024-01-01 | 重要的准备 | 4 | cute | 温柔和强大 | Little Bravers！ | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no024/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no024/card_after_training.png
628 | 2024-01-01 | 技术专家 | 2 | cute | 与伙伴共奏最棒的音色 | Get over it. | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no026/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no026/card_after_training.png
684 | 2024-01-01 | 毕竟今天很特别 | 4 | cool | 祈求晴空万里！ | 相联的，星星之歌 | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no027/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no027/card_after_training.png
715 | 2024-01-01 | 无法战胜的眼神 | 4 | happy | 连细节也很讲究 | 和你创造的Precious memories | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no028/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no028/card_after_training.png
727 | 2025-02-28 | Brand New Style | 2 | happy | 心心念念的？ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no029/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no029/card_after_training.png
773 | 2024-01-01 | 开始的声音 | 4 | pure | 比现在弹得更好 | Stick to your faith | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no030/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no030/card_after_training.png
829 | 2024-01-01 | 掩饰内心的激动 | 4 | cool | 保护睡梦中的孩子 | 东奔西走的饲养员体验！ | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no032/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no032/card_after_training.png
870 | 2024-01-01 | 想起喜悦的表情 | 3 | happy | 小小的野餐 | 勇敢引导，温柔在心 | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no035/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no035/card_after_training.png
910 | 2025-05-05 | 带上慰问品 | 4 | happy | 这也是我的本分和义务 | Parallel Harmonies | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no036/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no036/card_after_training.png
936 | 2025-06-05 | 让人忍俊不禁的有趣对话？ | 3 | pure | 婚庆展感想会！ | 大家来直播♡WEDDING LIVE！ | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no037/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res004_no037/card_after_training.png
