【初音未来 - 2星】

角色: 初音未来
分类: 2星
数量: 17

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
82 | 2024-01-01 | 教室「世界」 | 2 | cute | 有种被需要的感觉 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no002/card_after_training.png
83 | 2024-01-01 | 舞台「世界」 | 2 | cool | 无限的潜力！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no003/card_after_training.png
84 | 2024-01-01 | 街头「世界」 | 2 | pure | 对我们来说也是很重要的 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no004/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no004/card_after_training.png
85 | 2024-01-01 | 奇幻乐园「世界」 | 2 | happy | 天真烂漫的即兴演出 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no005/card_after_training.png
86 | 2024-01-01 | 无人「世界」 | 2 | mysterious | 高兴会令人心痒难耐 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no006/card_after_training.png
365 | 2024-01-01 | 守护初始的心愿 | 2 | cute | 我和「世界」，直到永远 | 总有一天，会从绝望的深渊 | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no021/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no021/card_after_training.png
414 | 2024-01-01 | 挑战代演！ | 2 | mysterious | 寻找共同点——！ | 在璀璨耀眼的舞台上 | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no024/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no024/card_after_training.png
479 | 2024-01-01 | 未来未来☆神枪手！ | 2 | cool | 愉快的涂鸦时间♪ | close game/OFFLINE | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no026/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no026/card_after_training.png
698 | 2024-01-01 | 就是要光彩夺目 | 2 | mysterious | 让我收下这份悔恨 | On Your Feet | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no035/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no035/card_after_training.png
744 | 2025-02-28 | Origin Style | 2 | pure | 未来的音色是 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no038/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no038/card_after_training.png
750 | 2025-02-28 | Brand New Classroom | 2 | cool | 因为她们就像流星一样 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no039/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no039/card_after_training.png
751 | 2025-02-28 | Brand New Stage | 2 | happy | 未来的报恩 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no040/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no040/card_after_training.png
752 | 2025-02-28 | Brand New Street | 2 | cute | 为了能笑着说出 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no041/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no041/card_after_training.png
753 | 2025-02-28 | Brand New Wonderland | 2 | mysterious | 能实现任何愿望的宝物 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no042/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no042/card_after_training.png
754 | 2025-02-28 | Brand New Empty | 2 | pure | 静静地去守护变化 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no043/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no043/card_after_training.png
789 | 2025-09-12 | 在湖畔 | 2 | cool | 随时都可以来找我 | 水底寻影 | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no044/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no044/card_after_training.png
1259 | 2026-09-27 | 偶尔享受悠闲的时光 | 2 | mysterious | 守护某人的回忆 | Our Golden Days | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no060/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no060/card_after_training.png
