【初音未来 - 新队服】

角色: 初音未来
分类: 新队服
数量: 40

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
81 | 2024-01-01 | 人尽皆知的歌手 | 1 | cute | 让我们一起享受吧！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no001/card_after_training.png
82 | 2024-01-01 | 教室「世界」 | 2 | cute | 有种被需要的感觉 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no002/card_after_training.png
83 | 2024-01-01 | 舞台「世界」 | 2 | cool | 无限的潜力！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no003/card_after_training.png
84 | 2024-01-01 | 街头「世界」 | 2 | pure | 对我们来说也是很重要的 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no004/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no004/card_after_training.png
85 | 2024-01-01 | 奇幻乐园「世界」 | 2 | happy | 天真烂漫的即兴演出 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no005/card_after_training.png
86 | 2024-01-01 | 无人「世界」 | 2 | mysterious | 高兴会令人心痒难耐 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no006/card_after_training.png
87 | 2024-01-01 | 守护的目光 | 3 | pure | 我得去见见他们 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no007/card_after_training.png
88 | 2024-01-01 | 向大家呈献首演 | 4 | cute | 好了，登上舞台吧！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no008/card_after_training.png
116 | 2024-01-01 | 被剪断的线 | 4 | cool | 再多找找 | 被囚禁的提线木偶 | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no009/card_after_training.png
126 | 2024-01-01 | 为大家加油吧！ | 4 | pure | 加油加油加油♪ | 奔跑吧！体育节！～组织委员晕头转向～ | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no010/card_after_training.png
145 | 2024-01-01 | 奇幻☆圣诞节！ | 4 | cute | 雪、雪橇、驯鹿、圣诞老人！ | 让歌声响彻，神圣之夜 | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no011/card_after_training.png
149 | 2024-01-01 | 强者的笑容 | 4 | pure | 希望你做我的对手 | 「世界」的Happy New Year！ | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no012/card_after_training.png
198 | 2024-01-01 | 逐渐成长的音色 | 4 | pure | 暗自担心 | 在樱花烂漫的世界中与你高歌 | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no013/card_after_training.png
262 | 2024-01-01 | 大大的贝壳在哪里？ | 3 | mysterious | 在珊瑚礁上说你好♪ | 这一定是最棒的summer！ | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no014/card_after_training.png
277 | 2024-01-01 | 在天台的交谈 | 3 | happy | 一路守望着的你 | 两人与月兔 | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no015/card_after_training.png
298 | 2024-01-01 | 哪怕是逆耳之言 | 4 | cool | 领会的决心 | Bout for Beside You | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no017/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no017/card_after_training.png
326 | 2024-01-01 | 坦率的歌词 | 4 | cute | 第一场雪 | 交织的旋律 点亮的温暖 | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no018/card_after_training.png
353 | 2024-01-01 | 歌牌界的顶尖偶像 | 3 | pure | 开始当师父了！ | 祈愿的未来 憧憬的明天 | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no020/card_after_training.png
365 | 2024-01-01 | 守护初始的心愿 | 2 | cute | 我和「世界」，直到永远 | 总有一天，会从绝望的深渊 | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no021/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no021/card_after_training.png
393 | 2024-01-01 | 带你看看「世界」的换衣间♪ | 4 | pure | 感谢每一针每一线 | Cast Spell on You | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no022/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no022/card_after_training.png
414 | 2024-01-01 | 挑战代演！ | 2 | mysterious | 寻找共同点——！ | 在璀璨耀眼的舞台上 | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no024/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no024/card_after_training.png
425 | 2024-01-01 | 挠痒痒怎么样？ | 3 | cute | 举办回到起点演唱会 | 连接Painful Hope | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no025/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no025/card_after_training.png
479 | 2024-01-01 | 未来未来☆神枪手！ | 2 | cool | 愉快的涂鸦时间♪ | close game/OFFLINE | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no026/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no026/card_after_training.png
525 | 2024-01-01 | 超级超级失落 | 3 | cool | 为了和大家一起演出 | 惜别谢幕 | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no029/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no029/card_after_training.png
537 | 2024-01-01 | 重合的歌声 | 4 | happy | 希望这首歌能够传达到 | Echo my melody | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no030/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no030/card_after_training.png
579 | 2024-01-01 | 学姐的目光 | 3 | cool | 因为最棒了 | Little Bravers！ | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no031/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no031/card_after_training.png
603 | 2024-01-01 | 很擅长料理？ | 3 | happy | 惊心动魄的烹调过程？！ | Never Give Up Cooking！ | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no032/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no032/card_after_training.png
644 | 2024-01-01 | 横滨郊游指南满眼是美食♪ | 4 | mysterious | 咖喱、卡斯特拉，还有…… | 启航前的一日游 | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no034/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no034/card_after_training.png
698 | 2024-01-01 | 就是要光彩夺目 | 2 | mysterious | 让我收下这份悔恨 | On Your Feet | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no035/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no035/card_after_training.png
744 | 2025-02-28 | Origin Style | 2 | pure | 未来的音色是 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no038/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no038/card_after_training.png
750 | 2025-02-28 | Brand New Classroom | 2 | cool | 因为她们就像流星一样 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no039/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no039/card_after_training.png
751 | 2025-02-28 | Brand New Stage | 2 | happy | 未来的报恩 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no040/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no040/card_after_training.png
752 | 2025-02-28 | Brand New Street | 2 | cute | 为了能笑着说出 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no041/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no041/card_after_training.png
753 | 2025-02-28 | Brand New Wonderland | 2 | mysterious | 能实现任何愿望的宝物 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no042/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no042/card_after_training.png
754 | 2025-02-28 | Brand New Empty | 2 | pure | 静静地去守护变化 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no043/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no043/card_after_training.png
789 | 2025-09-12 | 在湖畔 | 2 | cool | 随时都可以来找我 | 水底寻影 | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no044/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no044/card_after_training.png
875 | 2024-01-01 | 能感受到轨迹的伤痕 | 4 | pure | 热热闹闹打包观摩！ | 刻下的伤痕，总有一天 | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no046/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no046/card_after_training.png
1047 | 2025-12-11 | 感受到的目光 | 4 | happy | 特别的伴手礼 | Grow glorious glow | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no050/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res021_no050/card_after_training.png
