【巡音流歌 - 2星】

角色: 巡音流歌
分类: 2星
数量: 10

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
98 | 2024-01-01 | 教室「世界」 | 2 | happy | 为了学妹们 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no002/card_after_training.png
221 | 2024-01-01 | 仙子灯笼♪ | 2 | mysterious | 时刻闪耀的指引 | 让我分担你的烦恼！心跳雀跃的郊游 | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no010/card_after_training.png
420 | 2024-01-01 | 可靠的建议 | 2 | cute | 把握转瞬即逝的机会 | Live with memories | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no018/card_after_training.png
490 | 2024-01-01 | 可以选择等待 | 2 | cool | 改变的是…… | 现在再次绑上蝴蝶结 | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no021/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no021/card_after_training.png
599 | 2024-01-01 | 随意但丰富的回响 | 2 | cool | 让我听听你们的歌声！ | Kick it up a notch | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no025/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no025/card_after_training.png
681 | 2024-01-01 | 逐渐高涨的恐惧 | 2 | happy | 好不容易传达到的心愿 | 向戴着面具的我告别 | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no027/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no027/card_after_training.png
747 | 2025-02-28 | Origin Style | 2 | cute | 身为创作者的我们 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no029/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no029/card_after_training.png
755 | 2025-02-28 | Brand New Classroom | 2 | pure | 我们的开学典礼 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no030/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no030/card_after_training.png
865 | 2024-01-01 | 在「世界」举办摄影大赛！ | 2 | mysterious | 俘获人心的造型 | Take the Best Shot！ | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no035/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no035/card_after_training.png
965 | 2025-07-20 | 作为开始的地方 | 2 | cool | 作为学姐的愿望与心愿 | 那天仰望的夜空，将通向我们的未来 | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no039/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no039/card_after_training.png
