【巡音流歌 - 新队服】

角色: 巡音流歌
分类: 新队服
数量: 32

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
97 | 2024-01-01 | 冰山美人 | 1 | pure | 希望这首歌能传递给大家 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no001/card_after_training.png
98 | 2024-01-01 | 教室「世界」 | 2 | happy | 为了学妹们 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no002/card_after_training.png
99 | 2024-01-01 | 指引者 | 3 | pure | 并非遥不可及 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no003/card_after_training.png
110 | 2024-01-01 | 拭去黄昏之雨 | 4 | mysterious | 为你而流的眼泪 | 雨过天晴的启明星 | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no005/card_after_training.png
151 | 2024-01-01 | 优雅的微笑 | 4 | pure | 事不过四 | 「世界」的Happy New Year！ | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no006/card_after_training.png
161 | 2024-01-01 | 新成员登场♪ | 4 | cool | 令人心动的眨眼放电 | Color of Myself! | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no007/card_after_training.png
188 | 2024-01-01 | 快乐的女儿节♪ | 3 | cute | MEIMEI，腿让我枕一下 | 天马家的女儿节 | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no008/card_after_training.png
193 | 2024-01-01 | 偶像的心得 | 3 | mysterious | 放松一下吧？ | 传递心声！充满希望的舞台♪ | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no009/card_after_training.png
221 | 2024-01-01 | 仙子灯笼♪ | 2 | mysterious | 时刻闪耀的指引 | 让我分担你的烦恼！心跳雀跃的郊游 | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no010/card_after_training.png
238 | 2024-01-01 | 我行我素 | 4 | mysterious | 一针见血的提问 | 珍藏在心中的康乃馨 | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no011/card_after_training.png
271 | 2024-01-01 | 思绪畅游大海 | 4 | pure | 沉睡的裁判 | 对美人鱼充满憧憬 | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no012/card_after_training.png
320 | 2024-01-01 | 可靠的话语 | 4 | happy | 没想到是个胆小鬼 | 搭档·趣事·欢乐时刻♪ | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no013/card_after_training.png
344 | 2024-01-01 | 自由人登场！ | 3 | cool | 唱吧♪露营之歌 | Same Dreams,Same Colors | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no015/card_after_training.png
420 | 2024-01-01 | 可靠的建议 | 2 | cute | 把握转瞬即逝的机会 | Live with memories | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no018/card_after_training.png
430 | 2024-01-01 | 河童最爱吃的食物？ | 4 | cool | 见证魔法解除的那一刻 | 白热！神高应援团！ | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no019/card_after_training.png
461 | 2024-01-01 | 烈日下的鼓励 | 3 | happy | 计谋不成？ | 大家一起欢享！SPOJOYPARK | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res024_no020/card_after_training.png
