【桃井爱莉 - 2星】

角色: 桃井爱莉
分类: 2星
数量: 10

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
26 | 2024-01-01 | MORE MORE JUMP！ | 2 | cute | 把你的脸遮起来！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no002/card_after_training.png
194 | 2024-01-01 | 能为后辈做的事 | 2 | happy | 我不会让你遭遇同样的事 | 传递心声！充满希望的舞台♪ | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no007/card_after_training.png
226 | 2024-01-01 | 完美甜品 | 2 | cool | 人偶尔也是需要放松的 | 为努力的你营造闲暇时光！ | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no009/card_after_training.png
395 | 2024-01-01 | 神秘之心·女巫 | 2 | mysterious | 注入三叶草的心愿 | Cast Spell on You | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no015/card_after_training.png
676 | 2024-01-01 | 我也很期待啦 | 2 | pure | 聊旅行见闻也是旅行之一 | 一期一会的百鬼夜行？！ | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no026/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no026/card_after_training.png
718 | 2024-01-01 | 为重要的学妹送上满～满的爱 | 2 | cute | 这次轮到我了！ | 和你创造的Precious memories | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no028/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no028/card_after_training.png
730 | 2025-02-28 | Brand New Style | 2 | mysterious | 学姐的背影 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no029/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no029/card_after_training.png
882 | 2024-01-01 | 至少要把话语传递出去 | 2 | happy | 来自MORE MORE JUMP！的礼物 | Relax Teatime | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no033/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no033/card_after_training.png
1049 | 2025-12-11 | 作为一个粉丝 | 2 | cool | 我们之间的秘密 | Grow glorious glow | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no039/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no039/card_after_training.png
1114 | 2026-02-10 | 准备烹饪直播中 | 2 | mysterious | 营养丰富的简单菜谱 | Rise and Strive | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no042/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no042/card_after_training.png
