【桃井爱莉 - 特典】

角色: 桃井爱莉
分类: 特典
数量: 10

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
243 | 2024-01-01 | 献给渴望成为偶像的你 | 4 | happy | 与我的约定 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no010/card_after_training.png
368 | 2024-01-01 | 偷偷制作点心 | 4 | happy | 同盟永不解散！ | 秘密♡情人节大作战！ | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no014/card_after_training.png
546 | 2024-01-01 | 想要表达的无数想法 | 4 | pure | 想要原原本本地表达自己！ | 昨日梦想的延续 | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no020/card_after_training.png
689 | 2024-01-01 | 充满魅力的快乐美食家！ | 4 | mysterious | 就两人一起去购物♪ | 手忙脚乱cafe ●REC!! | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no027/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no027/card_after_training.png
781 | 2024-01-01 | 私下拍摄的特别照片！ | 4 | cool | 咬下的瞬间 | 那双手所引向的温暖 | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no030/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no030/card_after_training.png
923 | 2025-05-19 | 日常的一页 | 4 | happy | 我所认为的“偶像” | 总有一日，登上鲜花盛放的舞台 | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no035/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no035/card_after_training.png
968 | 2025-07-30 | Shine on Me | 4 | cute | 总有一天要抓住机会 | Chase my IDEAL IDOL！ | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no037/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no037/card_after_training.png
1007 | 2025-09-27 | 传递勇气之歌 | 4 | pure | 演出服中倾注的心愿 | 承载心愿！Dream Stage | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no038/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no038/card_after_training.png
1060 | 2025-12-31 | 同款的穿搭♥ | 4 | cute | 燃烧的综艺之魂 | Unfading wishing | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no040/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no040/card_after_training.png
1220 | 2026-08-08 | 特别联合直播！ | 4 | mysterious | 因为大家教会了我 | All ways Jump! with you | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no047/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res007_no047/card_after_training.png
