【晓山瑞希 - 4星】

角色: 晓山瑞希
分类: 4星
数量: 24

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
139 | 2024-01-01 | 天台友谊 | 4 | mysterious | 下次一定要一起…… | 神山高校校园庆典！ | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no006/card_after_training.png
202 | 2024-01-01 | 无法忽视的心愿 | 4 | cute | 再会天台 | Secret Distance | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no008/card_after_training.png
219 | 2024-01-01 | 在心愿与现实的狭缝中 | 4 | pure | 名为天台的容身之所 | 让我分担你的烦恼！心跳雀跃的郊游 | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no009/card_after_training.png
285 | 2024-01-01 | 片刻的安宁 | 4 | happy | 惧怕前进 | 光之幻影 | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no012/card_after_training.png
307 | 2024-01-01 | 隐士·逆位 | 4 | cute | 有人在等我 | 我的足迹 你的止境 | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no013/card_after_training.png
363 | 2024-01-01 | 习以为常的庆功宴 | 4 | pure | 觉得重要的时间 | 总有一天，会从绝望的深渊 | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no014/card_after_training.png
387 | 2024-01-01 | 和孩子们一起制作 | 4 | mysterious | 为朋友设计巧克力 | 慌慌张张？！怪盗绅士的白色情人节 | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no015/card_after_training.png
429 | 2024-01-01 | 我先走啦！ | 4 | cool | 传承的火焰 | 白热！神高应援团！ | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no017/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no017/card_after_training.png
446 | 2024-01-01 | 不用怕哦 | 4 | cool | 大家一起去迎接 | 牵起迷失的孩子，前方等待的是 | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no018/card_after_training.png
486 | 2024-01-01 | 给予勇气的宝物 | 4 | cute | 报告“现状”的信 | 现在再次绑上蝴蝶结 | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no019/card_after_training.png
