【晓山瑞希 - 新队服】

角色: 晓山瑞希
分类: 新队服
数量: 31

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
77 | 2024-01-01 | 执着于“可爱”的自由人 | 1 | cute | 因为我怕烫♪ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no001/card_after_training.png
78 | 2024-01-01 | 25点，Nightcord见。 | 2 | cool | 看这作品的质量！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no002/card_after_training.png
79 | 2024-01-01 | 无法妥协的态度 | 3 | mysterious | 今天我也好可爱呀～♪ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no003/card_after_training.png
117 | 2024-01-01 | 片刻嬉戏 | 3 | cute | 就算被束缚…… | 被囚禁的提线木偶 | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no005/card_after_training.png
139 | 2024-01-01 | 天台友谊 | 4 | mysterious | 下次一定要一起…… | 神山高校校园庆典！ | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no006/card_after_training.png
179 | 2024-01-01 | 相信你 | 2 | mysterious | 你可以依赖我哦 | 饱和不了的黯淡色彩 | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no007/card_after_training.png
202 | 2024-01-01 | 无法忽视的心愿 | 4 | cute | 再会天台 | Secret Distance | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no008/card_after_training.png
219 | 2024-01-01 | 在心愿与现实的狭缝中 | 4 | pure | 名为天台的容身之所 | 让我分担你的烦恼！心跳雀跃的郊游 | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no009/card_after_training.png
240 | 2024-01-01 | 牵起迷惑的手 | 3 | cool | 大家的温暖 | 珍藏在心中的康乃馨 | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no010/card_after_training.png
258 | 2024-01-01 | 仲夏夜庆典 | 2 | happy | 不放弃的坚强 | 夏日庆典，那响彻云霄的声音 | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res020_no011/card_after_training.png
