【朝比奈真冬 - 4星】

角色: 朝比奈真冬
分类: 4星
数量: 24

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
114 | 2024-01-01 | 拘束的化装舞会 | 4 | cool | 最初的感受 | 被囚禁的提线木偶 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no005/card_after_training.png
176 | 2024-01-01 | 吐露的言语 | 4 | happy | “没有”和“不知道”是不一样的 | 饱和不了的黯淡色彩 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no007/card_after_training.png
196 | 2024-01-01 | 探寻我的内心深处 | 4 | pure | 窥见智慧 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no008/card_after_training.png
239 | 2024-01-01 | 洋溢的微笑 | 4 | mysterious | 焦糖风味巧克力 | 珍藏在心中的康乃馨 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no010/card_after_training.png
284 | 2024-01-01 | 记忆中的温情 | 4 | happy | 为了不再遗忘 | 光之幻影 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no012/card_after_training.png
324 | 2024-01-01 | 初雪之中 | 4 | cute | 在我心里的未来 | 交织的旋律 点亮的温暖 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no014/card_after_training.png
362 | 2024-01-01 | 绝望深渊的厄尔庇斯 | 4 | pure | 希望遵守的约定 | 总有一天，会从绝望的深渊 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no015/card_after_training.png
445 | 2024-01-01 | 在落日余晖的暖意中 | 4 | cool | 耀眼的景色 | 牵起迷失的孩子，前方等待的是 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no018/card_after_training.png
488 | 2024-01-01 | 遥远的温暖 | 4 | cute | 所谓的“姐姐” | 现在再次绑上蝴蝶结 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no019/card_after_training.png
511 | 2024-01-01 | 温柔的魔咒 | 4 | pure | 和大家一起吃可丽饼 | 逢此庆典 暮色亦染 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no020/card_after_training.png
542 | 2024-01-01 | 氛围略异的餐桌 | 4 | mysterious | 想要，再待一会…… | 祈愿，终有一天跨越黎明 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no021/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no021/card_after_training.png
557 | 2024-01-01 | 只有你知晓的静谧 | 4 | cute | 悄然孕育的情感 | 在纯白世界拉弓引箭 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no022/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no022/card_after_training.png
637 | 2024-01-01 | 渐渐被切断的路 | 4 | cool | 夜已深，我却孤身一人 | 我们为了生存而逃避 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no025/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no025/card_after_training.png
677 | 2024-01-01 | 说出真正的心愿 | 4 | mysterious | 下定决心的归途 | 向戴着面具的我告别 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no027/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no027/card_after_training.png
786 | 2025-09-12 | 拾起的“心” | 4 | mysterious | 温暖的饭桌 | 水底寻影 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no029/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no029/card_after_training.png
834 | 2024-01-01 | 流露的真心 | 4 | happy | 深信这样就好 | 将那天，演奏的音乐 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no031/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no031/card_after_training.png
880 | 2024-01-01 | 泡沫的安宁 | 4 | happy | 转瞬即逝却挥之不去的心愿 | Relax Teatime | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no034/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no034/card_after_training.png
904 | 2025-04-28 | 安静地准备 | 4 | pure | 留存于心的“光芒” | Knowing the Unseen | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no035/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no035/card_after_training.png
943 | 2025-06-29 | 温暖的手 | 4 | pure | 平凡时光中收获的东西 | 揽灯近前 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no036/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no036/card_after_training.png
988 | 2025-08-27 | 猫耳妖怪领路人 | 4 | cool | 另一位参加者 | Wonderhorror～？！的试胆！ | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no038/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no038/card_after_training.png
1105 | 2026-01-31 | 在宁静的图书室 | 4 | happy | 为了表达谢意 | 在这针线中寄托心意 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no043/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no043/card_after_training.png
1140 | 2026-03-20 | 寂静的厨房 | 4 | cool | 内心的混沌 | Unreliable Notes | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no044/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no044/card_after_training.png
1162 | 2026-04-30 | 温暖的时光 | 4 | mysterious | 时刻感受大家的陪伴 | 于是，指针开始转动 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no045/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no045/card_after_training.png
1186 | 2026-06-09 | 交相辉映的笑容 | 4 | cute | 拼拼图 | 置身于泡沫的环绕 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no046/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no046/card_after_training.png
