【朝比奈真冬 - 新队服】

角色: 朝比奈真冬
分类: 新队服
数量: 30

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
69 | 2024-01-01 | 被当作“好孩子”的优等生 | 1 | cool | 这像我吗…… |  | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no001/card_after_training.png
70 | 2024-01-01 | 25点，Nightcord见。 | 2 | happy | 别在意是否是现实 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no002/card_after_training.png
71 | 2024-01-01 | 我是“好孩子” | 3 | cute | “我”在哪里……？ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no003/card_after_training.png
114 | 2024-01-01 | 拘束的化装舞会 | 4 | cool | 最初的感受 | 被囚禁的提线木偶 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no005/card_after_training.png
127 | 2024-01-01 | 欢乐满分的两人三足？ | 3 | happy | 留在心底的事 | 奔跑吧！体育节！～组织委员晕头转向～ | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no006/card_after_training.png
176 | 2024-01-01 | 吐露的言语 | 4 | happy | “没有”和“不知道”是不一样的 | 饱和不了的黯淡色彩 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no007/card_after_training.png
206 | 2024-01-01 | 废弃校舍的邂逅 | 2 | pure | 少女的谢礼 | Secret Distance | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no009/card_after_training.png
239 | 2024-01-01 | 洋溢的微笑 | 4 | mysterious | 焦糖风味巧克力 | 珍藏在心中的康乃馨 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no010/card_after_training.png
278 | 2024-01-01 | 抬头看到的月亮是同一个 | 2 | cute | 小小的赏月之夜 | 两人与月兔 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no011/card_after_training.png
284 | 2024-01-01 | 记忆中的温情 | 4 | happy | 为了不再遗忘 | 光之幻影 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no012/card_after_training.png
311 | 2024-01-01 | 引导之杖 | 2 | cool | 所谓前进 | 我的足迹 你的止境 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no013/card_after_training.png
362 | 2024-01-01 | 绝望深渊的厄尔庇斯 | 4 | pure | 希望遵守的约定 | 总有一天，会从绝望的深渊 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no015/card_after_training.png
400 | 2024-01-01 | 被想起的色彩 | 3 | pure | 因为没人知道标准答案 | 在空白的画布上描绘自我 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no017/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no017/card_after_training.png
445 | 2024-01-01 | 在落日余晖的暖意中 | 4 | cool | 耀眼的景色 | 牵起迷失的孩子，前方等待的是 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no018/card_after_training.png
488 | 2024-01-01 | 遥远的温暖 | 4 | cute | 所谓的“姐姐” | 现在再次绑上蝴蝶结 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no019/card_after_training.png
542 | 2024-01-01 | 氛围略异的餐桌 | 4 | mysterious | 想要，再待一会…… | 祈愿，终有一天跨越黎明 | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no021/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res018_no021/card_after_training.png
