【望月穗波 - 4星】

角色: 望月穗波
分类: 4星
数量: 25

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
155 | 2024-01-01 | 谢谢，勇气 | 4 | happy | 即便容易动摇，即便容易破灭 | 即使摇摆不定，但毅然勇往直前 | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no006/card_after_training.png
172 | 2024-01-01 | 欢迎来到噩梦之中 | 4 | cute | 兑现的承诺 | 回响于耳畔的暮色巡游 | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no007/card_after_training.png
208 | 2024-01-01 | 看不见的心意 | 4 | cool | 愿将来能成为支柱 | Resonate with you | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no009/card_after_training.png
259 | 2024-01-01 | 海上游泳课 | 4 | pure | 一起游就不可怕了 | 这一定是最棒的summer！ | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no011/card_after_training.png
281 | 2024-01-01 | 探寻自己力所能及的事 | 4 | mysterious | 创作的心愿 | Knock the Future!! | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no012/card_after_training.png
313 | 2024-01-01 | 因为你是我们最重要的朋友 | 4 | cool | 为了能成为支柱 | 矢志不摇的心愿，此刻以话语传达 | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no014/card_after_training.png
351 | 2024-01-01 | 度过一年最后一天 | 4 | cute | 汪汪汪？！ | 祈愿的未来 憧憬的明天 | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no016/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no016/card_after_training.png
418 | 2024-01-01 | 温柔体贴之举 | 4 | mysterious | 体贴的慰问品 | Live with memories | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no018/card_after_training.png
456 | 2024-01-01 | 日积月累的勇气 | 4 | happy | 说我多管闲事也无所谓 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no019/card_after_training.png
500 | 2024-01-01 | 为什么会变成这样？ | 4 | mysterious | 我笔下的鳄鱼和小猫 | 绘出自我♪RAINBOW CANVAS | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no021/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res003_no021/card_after_training.png
