【神代类 - 特典】

角色: 神代类
分类: 特典
数量: 10

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
228 | 2024-01-01 | 梦幻策划人 | 4 | cute | 最优秀的演员们 | 为纯白的你唱响誓言之歌！ | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no010/card_after_training.png
349 | 2024-01-01 | 无尽的想象与挑战 | 4 | cool | 现在才能相信的话语 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no013/card_after_training.png
514 | 2024-01-01 | 点醒的话语 | 4 | pure | 大家一起负责拿椅子 | 逢此庆典 暮色亦染 | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no019/card_after_training.png
601 | 2024-01-01 | 突如其来的试炼 | 4 | mysterious | 在礼物中寄托心意 | Never Give Up Cooking！ | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no022/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no022/card_after_training.png
672 | 2024-01-01 | 为内心，拍一张 | 4 | happy | 为了获得回忆 | 一期一会的百鬼夜行？！ | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no026/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no026/card_after_training.png
887 | 2025-04-18 | 回礼的招呼 | 4 | cute | 全新的「世界」探险队！ | 向着星星，启航！ | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no033/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no033/card_after_training.png
1003 | 2025-09-27 | 注视宝物 | 4 | cute | 因为这些过去 | 承载心愿！Dream Stage | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no038/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no038/card_after_training.png
1172 | 2026-05-09 | 向梦想迈出的一步 | 4 | cute | 想不完的点子 | Dear my fellows | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no045/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no045/card_after_training.png
1196 | 2026-07-04 | 与憧憬之人的距离 | 4 | happy | 心怀对伙伴的感谢 | Deeper and deeper | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no047/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no047/card_after_training.png
1231 | 2026-08-30 | 寄托心意的小道具制作 | 4 | cool | 关于梦想的一步 | Deep Dark For Light | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no048/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res016_no048/card_after_training.png
