【东云绘名 - 新队服】

角色: 东云绘名
分类: 新队服
数量: 32

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
73 | 2024-01-01 | 伴有社交网络依赖症的画师 | 1 | pure | 好啦，你就陪我一下嘛 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no001/card_after_training.png
74 | 2024-01-01 | 25点，Nightcord见。 | 2 | mysterious | 感觉还不错 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no002/card_after_training.png
75 | 2024-01-01 | 最佳角度 | 3 | cool | 美图效果很不错！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no003/card_after_training.png
118 | 2024-01-01 | 提线木偶的礼服 | 2 | pure | 坦诚相待的方法 | 被囚禁的提线木偶 | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no005/card_after_training.png
152 | 2024-01-01 | 东云家的年末 | 4 | pure | 大量战利品 | 「世界」的Happy New Year！ | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no006/card_after_training.png
175 | 2024-01-01 | 不想放弃 | 4 | happy | 苦苦挣扎 | 饱和不了的黯淡色彩 | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no007/card_after_training.png
204 | 2024-01-01 | 神秘之旅的洗礼？ | 4 | cute | 无法消除的烦闷 | Secret Distance | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no008/card_after_training.png
217 | 2024-01-01 | 向我伸出的援手 | 4 | pure | 我还一无所知 | 让我分担你的烦恼！心跳雀跃的郊游 | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no009/card_after_training.png
241 | 2024-01-01 | 希望说出来 | 2 | cute | 都是不肯放弃的人 | 珍藏在心中的康乃馨 | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no010/card_after_training.png
255 | 2024-01-01 | 曾经的夏日庆典 | 4 | cool | 你的里里外外我都清楚 | 夏日庆典，那响彻云霄的声音 | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no011/card_after_training.png
287 | 2024-01-01 | 取消的消息 | 3 | cute | 尽管来找我商量吧 | 光之幻影 | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no012/card_after_training.png
364 | 2024-01-01 | 为了做出相符的东西 | 3 | pure | 两年前的我 | 总有一天，会从绝望的深渊 | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no014/card_after_training.png
397 | 2024-01-01 | 无论痛苦，还是惨淡 | 4 | cool | 只要有可能 | 在空白的画布上描绘自我 | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no015/card_after_training.png
432 | 2024-01-01 | 体育节的幕后工作 | 2 | happy | 不经意窥见的努力 | 白热！神高应援团！ | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no017/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no017/card_after_training.png
448 | 2024-01-01 | 最吸引人的角度 | 3 | happy | 只有三人的庆功宴 | 牵起迷失的孩子，前方等待的是 | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no018/card_after_training.png
489 | 2024-01-01 | 想要完成最好的作品 | 3 | mysterious | K发来的私信 | 现在再次绑上蝴蝶结 | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res019_no020/card_after_training.png
