【镜音连 - 4星】

角色: 镜音连
分类: 4星
数量: 24

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
96 | 2024-01-01 | 新团员登场！ | 4 | cool | 从今天起我也是剧团的一员了！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no004/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no004/card_after_training.png
150 | 2024-01-01 | 最棒最强的搭档？！ | 4 | pure | 想了解大家如何度过新年 | 「世界」的Happy New Year！ | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no005/card_after_training.png
229 | 2024-01-01 | 闪闪发光的好奇心☆ | 4 | cute | 默默努力不会白费 | 为纯白的你唱响誓言之歌！ | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no008/card_after_training.png
256 | 2024-01-01 | 我的舞鞋！ | 4 | cool | 大家一起跳舞吧！ | 夏日庆典，那响彻云霄的声音 | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no009/card_after_training.png
265 | 2024-01-01 | 舞台上的王子殿下 | 4 | mysterious | 邀请参加特别演唱会！ | Happy lovely everyday! | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no010/card_after_training.png
375 | 2024-01-01 | 难以抑制的好奇心 | 4 | mysterious | 现在开始特训！ | Legend still vivid | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no015/card_after_training.png
405 | 2024-01-01 | 在春色甜点的包围下 | 4 | happy | 寻找，最佳赏花地点！ | 「世界」之樱，相连的心愿 | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no017/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no017/card_after_training.png
447 | 2024-01-01 | 腼腆的招呼 | 4 | cool | 充满期待的心情 | 牵起迷失的孩子，前方等待的是 | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no018/card_after_training.png
471 | 2024-01-01 | 放学后的小憩 | 4 | cute | 即使无法打动任何人 | No seek No find | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no019/card_after_training.png
573 | 2024-01-01 | 充满欢乐的宝箱 | 4 | mysterious | 为了让你振作起来 | 梦想的旅途，奔向闪耀的群星 | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no023/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no023/card_after_training.png
