【镜音连 - 新队服】

角色: 镜音连
分类: 新队服
数量: 33

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
93 | 2024-01-01 | 迸发的强大力量！ | 1 | happy | 麦克风接力！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no001/card_after_training.png
94 | 2024-01-01 | 街头「世界」 | 2 | mysterious | 我是DJ哦，DJ！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no002/card_after_training.png
95 | 2024-01-01 | 困难的“和好” | 3 | happy | 早点说出来就好了 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no003/card_after_training.png
96 | 2024-01-01 | 新团员登场！ | 4 | cool | 从今天起我也是剧团的一员了！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no004/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no004/card_after_training.png
150 | 2024-01-01 | 最棒最强的搭档？！ | 4 | pure | 想了解大家如何度过新年 | 「世界」的Happy New Year！ | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no005/card_after_training.png
169 | 2024-01-01 | 感伤的旋律 | 2 | cute | 完美无缺的心愿 | Period of NOCTURNE | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no006/card_after_training.png
183 | 2024-01-01 | 用最擅长的方法！ | 3 | happy | 波姆波姆波♪ | 梦想家的笑容 | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no007/card_after_training.png
229 | 2024-01-01 | 闪闪发光的好奇心☆ | 4 | cute | 默默努力不会白费 | 为纯白的你唱响誓言之歌！ | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no008/card_after_training.png
256 | 2024-01-01 | 我的舞鞋！ | 4 | cool | 大家一起跳舞吧！ | 夏日庆典，那响彻云霄的声音 | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no009/card_after_training.png
265 | 2024-01-01 | 舞台上的王子殿下 | 4 | mysterious | 邀请参加特别演唱会！ | Happy lovely everyday! | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no010/card_after_training.png
299 | 2024-01-01 | 明明是我的搭档 | 3 | cute | 因为想成为最棒的搭档 | Bout for Beside You | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res023_no011/card_after_training.png
