【桐谷遥 - 4星】

角色: 桐谷遥
分类: 4星
数量: 25

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
125 | 2024-01-01 | 满满的祝福 | 4 | pure | 享受欢呼！ | 奔跑吧！体育节！～组织委员晕头转向～ | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no005/card_after_training.png
191 | 2024-01-01 | 献给努力的你 | 4 | happy | 一起经历未曾经历过的体验 | 传递心声！充满希望的舞台♪ | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no008/card_after_training.png
222 | 2024-01-01 | 近在眼前的“最爱” | 4 | mysterious | 欢迎来到企鹅咖啡厅 | 为努力的你营造闲暇时光！ | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no009/card_after_training.png
242 | 2024-01-01 | 希望有朝一日能传达 | 4 | cool | 展翅而飞的希望 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no010/card_after_training.png
266 | 2024-01-01 | 与小粉丝一起 | 4 | mysterious | 将不可能变为可能！ | Happy lovely everyday! | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no011/card_after_training.png
321 | 2024-01-01 | 街头风偶像？！ | 4 | happy | 私人时间 | 搭档·趣事·欢乐时刻♪ | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no013/card_after_training.png
350 | 2024-01-01 | 共同祈愿的未来 | 4 | cute | 欢迎来到桐谷神社？ | 祈愿的未来 憧憬的明天 | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no015/card_after_training.png
422 | 2024-01-01 | 预感成真 | 4 | cool | 特制芭菲时间到♪ | 连接Painful Hope | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no017/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no017/card_after_training.png
518 | 2024-01-01 | 与大家心意相通 | 4 | cute | 那句话的含义 | 致过去的我 | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no020/card_after_training.png
545 | 2024-01-01 | 世上最棒的笑容 | 4 | pure | 追忆那天的自己 | 昨日梦想的延续 | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no022/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no022/card_after_training.png
631 | 2024-01-01 | 可能会发生变化的日常 | 4 | cute | 珍惜平平淡淡的日常 | Re-tie Friendship | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no024/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no024/card_after_training.png
642 | 2024-01-01 | 回忆与甜甜圈一起 | 4 | mysterious | 可以相互叫名字的关系 | 启航前的一日游 | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no025/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no025/card_after_training.png
716 | 2024-01-01 | 必杀！配合攻击 | 4 | happy | 今后的约定 | 和你创造的Precious memories | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no027/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no027/card_after_training.png
780 | 2024-01-01 | 过于奢侈的夜晚 | 4 | cool | 扮演鬼怪指南！ | 那双手所引向的温暖 | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no030/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no030/card_after_training.png
862 | 2024-01-01 | 用深色系展现帅气 | 4 | mysterious | 微小的共同点 | Take the Best Shot！ | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no033/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no033/card_after_training.png
874 | 2024-01-01 | 令人惊讶的房龄 | 4 | pure | 正因为破旧才会乐在其中？ | 刻下的伤痕，总有一天 | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no034/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no034/card_after_training.png
922 | 2025-05-19 | 接受的希望 | 4 | pure | 在「世界」野餐♪ | 总有一日，登上鲜花盛放的舞台 | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no035/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no035/card_after_training.png
938 | 2025-06-22 | 拉近心灵，一起 | 4 | cool | 信念和梦想一致 | Lead to shine more | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no036/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no036/card_after_training.png
969 | 2025-07-30 | 嚣张的学妹！ | 4 | cute | 尚在燃烧的余烬 | Chase my IDEAL IDOL！ | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no037/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no037/card_after_training.png
993 | 2025-09-04 | 将助威化为翅膀 | 4 | happy | 道具的机密入手途径 | 锻炼后FLY！Muscle Training！ | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no038/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no038/card_after_training.png
