【桐谷遥 - 特典】

角色: 桐谷遥
分类: 特典
数量: 11

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
242 | 2024-01-01 | 希望有朝一日能传达 | 4 | cool | 展翅而飞的希望 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no010/card_after_training.png
350 | 2024-01-01 | 共同祈愿的未来 | 4 | cute | 欢迎来到桐谷神社？ | 祈愿的未来 憧憬的明天 | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no015/card_after_training.png
422 | 2024-01-01 | 预感成真 | 4 | cool | 特制芭菲时间到♪ | 连接Painful Hope | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no017/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no017/card_after_training.png
545 | 2024-01-01 | 世上最棒的笑容 | 4 | pure | 追忆那天的自己 | 昨日梦想的延续 | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no022/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no022/card_after_training.png
780 | 2024-01-01 | 过于奢侈的夜晚 | 4 | cool | 扮演鬼怪指南！ | 那双手所引向的温暖 | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no030/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no030/card_after_training.png
862 | 2024-01-01 | 用深色系展现帅气 | 4 | mysterious | 微小的共同点 | Take the Best Shot！ | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no033/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no033/card_after_training.png
922 | 2025-05-19 | 接受的希望 | 4 | pure | 在「世界」野餐♪ | 总有一日，登上鲜花盛放的舞台 | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no035/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no035/card_after_training.png
969 | 2025-07-30 | 嚣张的学妹！ | 4 | cute | 尚在燃烧的余烬 | Chase my IDEAL IDOL！ | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no037/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no037/card_after_training.png
1057 | 2025-12-31 | 成为大家引以为豪的偶像 | 4 | happy | 偶像才能做到的事 | Unfading wishing | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no041/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no041/card_after_training.png
1219 | 2026-08-08 | 促成相遇的牵绊 | 4 | cute | 伙伴的支持 | All ways Jump! with you | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no047/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no047/card_after_training.png
1256 | 2026-09-27 | 舞台侧边的热情 | 4 | pure | 离岛的放松时光 | Our Golden Days | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no048/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res006_no048/card_after_training.png
