【镜音铃 - 4星】

角色: 镜音铃
分类: 4星
数量: 22

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
92 | 2024-01-01 | 激烈对抗 | 4 | pure | 这是秘密啦! |  | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no004/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no004/card_after_training.png
131 | 2024-01-01 | 为了让你露出笑脸 | 4 | cute | 闪耀的彩虹♪ | 此时此地再次启程！ | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no005/card_after_training.png
171 | 2024-01-01 | 友情丘比特 | 4 | cute | 笑一个吧 | 回响于耳畔的暮色巡游 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no006/card_after_training.png
245 | 2024-01-01 | 俏皮的旋律 | 4 | happy | 因为想看你的笑容 | Unnamed Harmony | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no009/card_after_training.png
286 | 2024-01-01 | 相册中的女孩 | 4 | happy | 安详的摇篮曲 | 光之幻影 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no011/card_after_training.png
399 | 2024-01-01 | 想要传递的歌声 | 4 | cool | 虽然不希望你痛苦 | 在空白的画布上描绘自我 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no016/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no016/card_after_training.png
424 | 2024-01-01 | 要多多依靠我哦♪ | 4 | cool | 一起去购物吧！ | 连接Painful Hope | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no018/card_after_training.png
465 | 2024-01-01 | 看录像的时候不要说话！ | 4 | mysterious | 为了感受那种氛围 | The Vivid Old Tale | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no019/card_after_training.png
567 | 2024-01-01 | 和舞狮机器人玩抓人游戏 | 4 | mysterious | 新朋友 | 新春！舞狮机器人的新年演出！ | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no023/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no023/card_after_training.png
617 | 2024-01-01 | 重归于好的桥梁 | 4 | cool | 「世界」连结起来的邂逅 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no024/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no024/card_after_training.png
661 | 2024-01-01 | 放心交给我们吧！ | 4 | cute | 只能眼睁睁地看完始末 | Light Up the Fire | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no026/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no026/card_after_training.png
708 | 2024-01-01 | 另一个我 | 4 | cute | 小小的变化？ | 响彻「世界」！Your Song | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no027/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no027/card_after_training.png
