【镜音铃 - 新队服】

角色: 镜音铃
分类: 新队服
数量: 33

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
89 | 2024-01-01 | 迸发的活力！ | 1 | mysterious | 干净利落的表演！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no001/card_after_training.png
90 | 2024-01-01 | 舞台「世界」 | 2 | happy | 偷偷练习的伙伴！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no002/card_after_training.png
91 | 2024-01-01 | 耀眼的舞台 | 3 | mysterious | 摆个可爱的造型♪ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no003/card_after_training.png
92 | 2024-01-01 | 激烈对抗 | 4 | pure | 这是秘密啦! |  | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no004/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no004/card_after_training.png
131 | 2024-01-01 | 为了让你露出笑脸 | 4 | cute | 闪耀的彩虹♪ | 此时此地再次启程！ | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no005/card_after_training.png
171 | 2024-01-01 | 友情丘比特 | 4 | cute | 笑一个吧 | 回响于耳畔的暮色巡游 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no006/card_after_training.png
178 | 2024-01-01 | 寻找邂逅的意义 | 3 | mysterious | 即便背上枷锁 | 饱和不了的黯淡色彩 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no007/card_after_training.png
235 | 2024-01-01 | 微笑狂欢之夜！ | 3 | mysterious | 让笑容绽放 | 奇幻魔法表演时间！ | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no008/card_after_training.png
245 | 2024-01-01 | 俏皮的旋律 | 4 | happy | 因为想看你的笑容 | Unnamed Harmony | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no009/card_after_training.png
253 | 2024-01-01 | 跳出「世界」 | 2 | cool | 小小的冒险 | Awakening Beat | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no010/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no010/card_after_training.png
286 | 2024-01-01 | 相册中的女孩 | 4 | happy | 安详的摇篮曲 | 光之幻影 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no011/card_after_training.png
305 | 2024-01-01 | 聪颖女孩 | 2 | pure | 在「世界」大跳跃♪ | 重燃的梦想 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no012/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no012/card_after_training.png
371 | 2024-01-01 | 蛋糕上的偶像♪ | 3 | cool | 我特别准备的惊喜！ | 秘密♡情人节大作战！ | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no015/card_after_training.png
399 | 2024-01-01 | 想要传递的歌声 | 4 | cool | 虽然不希望你痛苦 | 在空白的画布上描绘自我 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no016/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no016/card_after_training.png
409 | 2024-01-01 | 如樱花般怒放的偶像♪ | 2 | cool | 在樱色舞台上举办演唱会♪ | 「世界」之樱，相连的心愿 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no017/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no017/card_after_training.png
465 | 2024-01-01 | 看录像的时候不要说话！ | 4 | mysterious | 为了感受那种氛围 | The Vivid Old Tale | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no019/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no019/card_after_training.png
496 | 2024-01-01 | 无法说出口的话 | 3 | pure | 温柔真是深奥啊 | Don't lose faith! | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no020/card_after_training.png
532 | 2024-01-01 | 尽情享受文化节♪ | 2 | cute | 我们的文化节？ | 尖叫？！欢迎来到大灰狼森林 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no021/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no021/card_after_training.png
657 | 2024-01-01 | 作战成功，击掌！ | 3 | mysterious | 友谊的誓言！ | 给在我身边温柔的你 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no025/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no025/card_after_training.png
661 | 2024-01-01 | 放心交给我们吧！ | 4 | cute | 只能眼睁睁地看完始末 | Light Up the Fire | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no026/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no026/card_after_training.png
745 | 2025-02-28 | Origin Style | 2 | cool | 聊一下反差？ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no028/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no028/card_after_training.png
756 | 2025-02-28 | Brand New Stage | 2 | mysterious | 特别特训！ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no029/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no029/card_after_training.png
775 | 2024-01-01 | 让我聆听你的回忆 | 4 | pure | 是铃姐姐哦～♪ | Stick to your faith | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no030/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no030/card_after_training.png
837 | 2024-01-01 | 绘出「世界」，染上色彩 | 2 | mysterious | 坚持画完了呢 | 将那天，演奏的音乐 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no032/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no032/card_after_training.png
856 | 2024-01-01 | 被银幕照亮 | 4 | happy | 传递声援的心情！ | 背光的镜头光晕 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no034/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no034/card_after_training.png
925 | 2025-05-19 | 发现神秘的路？！ | 2 | cute | 在花田玩大家来找茬？ | 总有一日，登上鲜花盛放的舞台 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no035/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no035/card_after_training.png
945 | 2025-06-29 | 第一次听到雷鸣 | 4 | pure | 祸从口出 | 揽灯近前 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no036/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no036/card_after_training.png
971 | 2025-07-30 | 寄托想要传递的情感！ | 3 | cute | 偶像真是太棒了！ | Chase my IDEAL IDOL！ | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no037/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no037/card_after_training.png
1030 | 2025-11-10 | 让人畅想的葡萄小山 | 4 | mysterious | 在「世界」体验摘葡萄？！ | 又到秋叶染色之时 | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no040/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no040/card_after_training.png
1099 | 2026-01-21 | 梳妆打扮不容易 | 4 | cool | 似曾相识的颜色 | Show your shine | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no043/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no043/card_after_training.png
1142 | 2026-03-20 | 传达不到的声音 | 3 | happy | 充满温情的「世界」 | Unreliable Notes | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no045/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no045/card_after_training.png
1150 | 2026-03-27 | 缓解紧张的小魔法 | 2 | mysterious | 嗨起来了吗～！ | Find the dream view | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no046/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no046/card_after_training.png
1203 | 2026-07-15 | 娱乐委员大显身手♪ | 4 | cute | 正在策划庆祝派对！ | Unsteady, still steady step | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no047/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res022_no047/card_after_training.png
