【日野森雫 - 新队服】

角色: 日野森雫
分类: 新队服
数量: 30

---- 卡面ID | 实装日期 | 卡名 | 星级 | 属性 | 技能 | 关联活动 | 特训前图片 | 特训后图片 ----
29 | 2024-01-01 | 美丽的当红偶像 | 1 | cute | 这是什么地方？ |  | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no001/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no001/card_after_training.png
30 | 2024-01-01 | MORE MORE JUMP！ | 2 | mysterious | 希望将来能挺起胸膛 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no002/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no002/card_after_training.png
31 | 2024-01-01 | 在华丽的舞台上 | 3 | happy | 我想成为的偶像是…… |  | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no003/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no003/card_after_training.png
132 | 2024-01-01 | 我想成为的是…… | 3 | cool | 我们四个一定要做到 | 此时此地再次启程！ | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no005/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no005/card_after_training.png
160 | 2024-01-01 | 世上独一无二的“我” | 4 | cool | 做真实的自己 | Color of Myself! | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no006/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no006/card_after_training.png
192 | 2024-01-01 | 喵～？ | 4 | happy | 愿能助你一臂之力 | 传递心声！充满希望的舞台♪ | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no007/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no007/card_after_training.png
223 | 2024-01-01 | 邀你享受闲暇时光 | 4 | mysterious | 休息一会儿怎么样？ | 为努力的你营造闲暇时光！ | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no008/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no008/card_after_training.png
267 | 2024-01-01 | 秘密交涉 | 3 | cute | 唱响那时无法演唱的歌 | Happy lovely everyday! | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no009/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no009/card_after_training.png
323 | 2024-01-01 | 菲尼乐园的夜晚约会 | 2 | cute | 今后也要创造很多回忆 | 搭档·趣事·欢乐时刻♪ | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no011/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no011/card_after_training.png
332 | 2024-01-01 | 尝尝我亲手做的饭团吧♪ | 4 | mysterious | 给大家的礼物 | MOREMOREMakingXmas | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no013/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no013/card_after_training.png
372 | 2024-01-01 | 情人节淑女 | 2 | pure | 名侦探的推理能力？ | 秘密♡情人节大作战！ | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no014/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no014/card_after_training.png
391 | 2024-01-01 | 宛如魔法 | 4 | pure | 从“心愿”中诞生的服装 | Cast Spell on You | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no015/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no015/card_after_training.png
426 | 2024-01-01 | 完成报告！ | 2 | happy | 看看你的面相？！ | 连接Painful Hope | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no016/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no016/card_after_training.png
482 | 2024-01-01 | 是掉地上了吗？ | 4 | cool | 你一直是我的偶像 | 在蓝天下追逐光芒 | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no018/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no018/card_after_training.png
520 | 2024-01-01 | 激动人心的开箱♪ | 3 | mysterious | 开心地检查周边？ | 致过去的我 | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no020/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no020/card_after_training.png
549 | 2024-01-01 | 看清未来 | 2 | cool | 热切地注视 | 昨日梦想的延续 | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no021/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no021/card_after_training.png
556 | 2024-01-01 | 专心射出每一支箭 | 4 | cute | 雪兔增加的谜团？！ | 在纯白世界拉弓引箭 | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no023/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no023/card_after_training.png
589 | 2024-01-01 | 和不中用的自己告别 | 4 | happy | 自己的话语传达的想法 | 解开的心结之后 | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no024/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no024/card_after_training.png
632 | 2024-01-01 | 活力满满地方外景！ | 4 | cute | 我也想分享快乐的时间 | Re-tie Friendship | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no025/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no025/card_after_training.png
667 | 2024-01-01 | 中午的学习会 | 3 | pure | 和同学的距离 | STEP by STEP！ | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no026/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no026/card_after_training.png
731 | 2025-02-28 | Brand New Style | 2 | pure | 虽然是多管闲事 |  | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no028/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no028/card_after_training.png
877 | 2024-01-01 | 开心地设计 | 2 | cool | 孤单的是哪一边？ | 刻下的伤痕，总有一天 | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no033/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no033/card_after_training.png
939 | 2025-06-22 | 用饭菜为大家送上活力♪ | 4 | cool | 健康委员的工作！ | Lead to shine more | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no035/card_normal.png | https://storage.sekai.best/sekai-cn-assets/character/member/res008_no035/card_after_training.png
