【青柳冬弥 - 红线】

姓名: 青柳冬弥

---- 羁绊组ID | 羁绊对象 ----
10912 | 小豆泽心羽
10912 | 小豆泽心羽
11012 | 白石杏
11012 | 白石杏
11112 | 东云彰人
11112 | 东云彰人
11221 | 初音未来
11221 | 初音未来
11223 | 镜音连
11223 | 镜音连
11225 | MEIKO
11225 | MEIKO
11213 | 天马司
11213 | 天马司
10212 | 天马咲希
10212 | 天马咲希
11222 | 镜音铃
11222 | 镜音铃
11226 | KAITO
11226 | KAITO
11221 | 
11221 | 
11222 | 
11222 | 
11223 | 
11223 | 
11225 | 
11225 | 
11226 | 
11226 | 
11220 | 晓山瑞希
11220 | 晓山瑞希
11216 | 神代类
11216 | 神代类
11215 | 草薙宁宁
11215 | 草薙宁宁
11224 | 巡音流歌
11224 | 巡音流歌
11224 | 
11224 | 
11214 | 凤笑梦
11214 | 凤笑梦
10112 | 星乃一歌
10112 | 星乃一歌
10312 | 望月穗波
10312 | 望月穗波
10412 | 日野森志步
10412 | 日野森志步
10512 | 花里实乃理
10512 | 花里实乃理
10612 | 桐谷遥
10612 | 桐谷遥
10712 | 桃井爱莉
10712 | 桃井爱莉
10812 | 日野森雫
10812 | 日野森雫
11217 | 宵崎奏
11217 | 宵崎奏
11218 | 朝比奈真冬
11218 | 朝比奈真冬
11219 | 东云绘名
11219 | 东云绘名
