【东云彰人 - 卡面】

姓名: 东云彰人
登场卡面数: 48

---- 实装日期 | 卡名 | 星级 | 属性 | 技能名 | 关联活动 ----
2024-01-01 | 令人佩服的实力派 | 1 | happy | 我也没有多害怕 | 
2024-01-01 | Vivid BAD SQUAD | 2 | cute | 陪我就陪到底吧 | 
2024-01-01 | 藏不住的焦躁 | 3 | happy | 我要击溃那些半吊子的家伙 | 
2024-01-01 | 因为我是你的搭档 | 4 | cool | 为了在你身边歌唱 | 总有一天为你献上心连心的抒情诗
2024-01-01 | 等待那一天的到来 | 4 | mysterious | 最高的赞赏 | Period of NOCTURNE
2024-01-01 | 败北之夜 | 4 | happy | 拥有伙伴的意义 | STRAY BAD DOG
2024-01-01 | 回味幸福 | 3 | cool | 领舞&领唱 | 为纯白的你唱响誓言之歌！
2024-01-01 | 不曾改变的夏日庆典 | 4 | cool | 现在还是喜欢足球 | 夏日庆典，那响彻云霄的声音
2024-01-01 | 自豪的选择 | 2 | mysterious | 身为“搭档”的前辈 | Bout for Beside You
2025-11-11 | Happy Birthday！！Flower | bd | cute | 紧张刺激的惊吓盒？ | 
2024-01-01 | 冬夜谈心 | 4 | pure | 东云家的露营 | Same Dreams,Same Colors
2024-01-01 | 走向传奇 | 2 | cool | 坚定的决心 | Legend still vivid
2024-01-01 | 做巧克力也要追求完美 | 4 | mysterious | 讲究的糖渍橙皮 | 慌慌张张？！怪盗绅士的白色情人节
2024-01-01 | 管不了那么多了！ | 3 | pure | 为了享受宁静的休息时间？ | 白热！神高应援团！
2024-01-01 | 洞察到的热情 | 4 | cute | 难道说是因为少了松饼？ | THE POWER OF UNITY
2024-01-01 | 晨练的片段 | 4 | mysterious | 第一届跑步比赛！ | The Vivid Old Tale
2024-01-01 | 与玩偶们一起 | 3 | cute | 神枪手·狼&熊猫 | close game/OFFLINE
2024-01-01 | 各自的休憩时间 | 2 | happy | 没有杏和心羽参与的日子 | Walk on and on
2024-01-01 | 沉浸于欢呼声的海洋 | 4 | pure | 与旧识的友情 | 逢此庆典 暮色亦染
2025-11-11 | Happy Birthday！！Stamp | bd | pure | 热闹快乐的一天 | 
2024-01-01 | 那番话的含义 | 4 | happy | 关注我的人一直都在 | Find A Way Out
2024-01-01 | 移动途中也很重要 | 2 | pure | 期待下一次机会 | 新春！舞狮机器人的新年演出！
2024-01-01 | 作战会议与芝士蛋糕 | 4 | happy | 美味的提议 | Kick it up a notch
2024-01-01 | 被堵上的出路 | 3 | mysterious | 先稍作休憩 | Light Up the Fire
2024-01-01 | 渴求的流浪者 | 4 | cute | 绝对不能失去的东西 | 
2024-01-01 | 正在穿搭中！ | 4 | pure | 被揭晓的真实意图 | On Your Feet
2024-01-01 | 夜晚的学习 | 2 | mysterious | 一个甜甜圈分量的体贴 | Let's study hard！
2025-02-28 | Brand New Style | 2 | cool | 不需要改变的事 | 
2024-01-01 | 继承火焰 | 4 | cute | 如果某天能全部整理好 | BURN MY SOUL
2025-11-11 | Happy Birthday！！Dessert | bd | mysterious | 惊喜芝士蛋糕 | 
2024-01-01 | 与角色融为一体的觉悟 | 4 | pure | 保持下去直到杀青 | 最棒的杀青！
2026-02-07 | feat.酷企鹅 | 2 | cute | BAD DOG&BAD BOY | 
2025-06-12 | 坚定不移的决心 | 4 | cute | 休息与指导 | BREAK DOWN THE WALL
2025-04-11 | 恐怖的追逐 | 4 | cool | 建立起的信赖 | Rise as ONE！
2025-05-12 | 决不再忽视 | 2 | happy | 舒适的氛围 | Whip the wimp girl!!
2025-07-05 | 围成圈宣告决心 | 4 | mysterious | 有事发生的信号 | OVER RAD SQUAD!!
2025-09-04 | 大赛之后要多吃点 | 4 | happy | 再次参加体育运动 | 锻炼后FLY！Muscle Training！
2025-10-21 | 萦绕心头的思绪 | 4 | cool | 和这些家伙一起走向世界 | Rekindle the flame
2025-11-11 | Happy Birthday！！2025 | bd | happy | 互相分享喜悦 | 
2025-12-21 | 白热化！打雪仗！ | 3 | pure | 在「世界」打雪仗？！ | Special present for YOU！
2025-12-31 | 意想不到的饯别礼物 | 4 | cute | 新年第一次测运气 | Unfading wishing
2026-01-11 | 舷窗外的风景 | 3 | mysterious | 带给家人的伴手礼 | Time to take off！
2025-10-24 | Let's enjoy the movie！ | 2 | pure | 这可丽饼还挺好吃啊 | 
2025-12-19 | 共鸣的斗志 | 4 | pure | 正因为是同一类人 | 
2026-04-08 | 出乎意料的话语 | 4 | happy | 被声音拯救 | Turning Pain into Drive
2026-05-31 | 映入眼中的“世界” | 3 | happy | 怀着同样心情的早晨 | Aim higher and higher！
2026-07-31 | 回到熟悉的日常 | 2 | cute | 橙色陷阱 | Competitive fire！
2026-09-27 | 永不止步 | 4 | cool | 填满空虚之歌 | Our Golden Days
