【初音未来 - 卡面】

姓名: 初音未来
登场卡面数: 60

---- 实装日期 | 卡名 | 星级 | 属性 | 技能名 | 关联活动 ----
2024-01-01 | 人尽皆知的歌手 | 1 | cute | 让我们一起享受吧！ | 
2024-01-01 | 教室「世界」 | 2 | cute | 有种被需要的感觉 | 
2024-01-01 | 舞台「世界」 | 2 | cool | 无限的潜力！ | 
2024-01-01 | 街头「世界」 | 2 | pure | 对我们来说也是很重要的 | 
2024-01-01 | 奇幻乐园「世界」 | 2 | happy | 天真烂漫的即兴演出 | 
2024-01-01 | 无人「世界」 | 2 | mysterious | 高兴会令人心痒难耐 | 
2024-01-01 | 守护的目光 | 3 | pure | 我得去见见他们 | 
2024-01-01 | 向大家呈献首演 | 4 | cute | 好了，登上舞台吧！ | 
2024-01-01 | 被剪断的线 | 4 | cool | 再多找找 | 被囚禁的提线木偶
2024-01-01 | 为大家加油吧！ | 4 | pure | 加油加油加油♪ | 奔跑吧！体育节！～组织委员晕头转向～
2024-01-01 | 奇幻☆圣诞节！ | 4 | cute | 雪、雪橇、驯鹿、圣诞老人！ | 让歌声响彻，神圣之夜
2024-01-01 | 强者的笑容 | 4 | pure | 希望你做我的对手 | 「世界」的Happy New Year！
2024-01-01 | 逐渐成长的音色 | 4 | pure | 暗自担心 | 在樱花烂漫的世界中与你高歌
2024-01-01 | 大大的贝壳在哪里？ | 3 | mysterious | 在珊瑚礁上说你好♪ | 这一定是最棒的summer！
2024-01-01 | 在天台的交谈 | 3 | happy | 一路守望着的你 | 两人与月兔
2024-01-01 | 在心愿合一的地方 | 4 | mysterious | 也将“我”们的心愿托付出去吧 | 
2024-01-01 | 哪怕是逆耳之言 | 4 | cool | 领会的决心 | Bout for Beside You
2024-01-01 | 坦率的歌词 | 4 | cute | 第一场雪 | 交织的旋律 点亮的温暖
2026-05-01 | 无眠怠惰的未亡人 | 2 | happy | 安眠公主的gift | 
2024-01-01 | 歌牌界的顶尖偶像 | 3 | pure | 开始当师父了！ | 祈愿的未来 憧憬的明天
2024-01-01 | 守护初始的心愿 | 2 | cute | 我和「世界」，直到永远 | 总有一天，会从绝望的深渊
2024-01-01 | 带你看看「世界」的换衣间♪ | 4 | pure | 感谢每一针每一线 | Cast Spell on You
2024-01-01 | 置身于漫天飞舞的樱花中 | 4 | happy | 赏花会有暖暖的感觉 | 「世界」之樱，相连的心愿
2024-01-01 | 挑战代演！ | 2 | mysterious | 寻找共同点——！ | 在璀璨耀眼的舞台上
2024-01-01 | 挠痒痒怎么样？ | 3 | cute | 举办回到起点演唱会 | 连接Painful Hope
2024-01-01 | 未来未来☆神枪手！ | 2 | cool | 愉快的涂鸦时间♪ | close game/OFFLINE
2025-08-30 | Happy Anniversary！！Flower | bd | happy | 感谢的二重唱♪ | 
2024-01-01 | 请交给我来保管吧 | 4 | pure | 我会一直陪在你们身边的 | 
