【初音未来 - 红线】

姓名: 初音未来

---- 羁绊组ID | 羁绊对象 ----
10121 | 星乃一歌
10121 | 星乃一歌
10221 | 天马咲希
10221 | 天马咲希
10321 | 望月穗波
10321 | 望月穗波
10421 | 日野森志步
10421 | 日野森志步
10521 | 花里实乃理
10521 | 花里实乃理
10621 | 桐谷遥
10621 | 桐谷遥
10721 | 桃井爱莉
10721 | 桃井爱莉
10821 | 日野森雫
10821 | 日野森雫
10921 | 小豆泽心羽
10921 | 小豆泽心羽
11021 | 白石杏
11021 | 白石杏
11121 | 东云彰人
11121 | 东云彰人
11221 | 青柳冬弥
11221 | 青柳冬弥
11321 | 天马司
11321 | 天马司
11421 | 凤笑梦
11421 | 凤笑梦
11521 | 草薙宁宁
11521 | 草薙宁宁
11621 | 神代类
11621 | 神代类
11721 | 宵崎奏
11721 | 宵崎奏
11821 | 朝比奈真冬
11821 | 朝比奈真冬
11921 | 东云绘名
11921 | 东云绘名
12021 | 晓山瑞希
12021 | 晓山瑞希
12122 | 镜音铃
12122 | 镜音铃
12123 | 镜音连
12123 | 镜音连
12124 | 巡音流歌
12124 | 巡音流歌
12125 | MEIKO
12125 | MEIKO
12126 | KAITO
12126 | KAITO
