【白石杏 - 卡面】

姓名: 白石杏
登场卡面数: 47

---- 实装日期 | 卡名 | 星级 | 属性 | 技能名 | 关联活动 ----
2024-01-01 | 魅力超凡的歌手 | 1 | cute | 幽灵是不存在的！ | 
2024-01-01 | Vivid BAD SQUAD | 2 | cool | 这是我的推荐菜单！ | 
2024-01-01 | 热火朝天助人为乐！ | 3 | pure | 欢迎光临！ | 
2024-01-01 | 不称职的搭档 | 4 | cool | 信赖的力量 | 总有一天为你献上心连心的抒情诗
2024-01-01 | 体贴的心意 | 4 | mysterious | 珍贵的伙伴！ | Period of NOCTURNE
2024-01-01 | 因为我们是伙伴 | 4 | happy | 对传奇之夜的憧憬 | STRAY BAD DOG
2024-01-01 | 即兴加入的舞者 | 2 | happy | 将来我们要亲手完成 | 为纯白的你唱响誓言之歌！
2024-01-01 | 献给搭档的肺腑之言 | 4 | cute | 绝对的信赖 | Awakening Beat
2024-01-01 | 铁网之外 | 4 | cool | 下定决心 | Bout for Beside You
2024-01-01 | 激动的最高峰！ | 3 | mysterious | 约会对象是？ | 搭档·趣事·欢乐时刻♪
2024-01-01 | 大家一起来烧烤♪ | 4 | pure | 到家后也还是郊游！ | Same Dreams,Same Colors
2024-01-01 | 现在开始营业！ | 3 | cute | 就算迷惘，也要前进！ | Legend still vivid
2024-01-01 | 曾经的狂热 | 4 | cute | 与追逐同一梦想的伙伴一起 | 
2024-01-01 | 一丝后悔 | 2 | pure | 当仁不让的热情 | THE POWER OF UNITY
2024-01-01 | 身穿纯白色的婚纱 | 4 | pure | 家长们的反应 | 向晴空许愿Your Happiness!
2024-01-01 | 温暖的回忆 | 4 | mysterious | RADder拌嘴的原因？ | The Vivid Old Tale
2025-07-25 | Happy Birthday！！Flower | bd | pure | 他们也是我的家人 | 
2024-01-01 | 模糊不清的语言 | 3 | cool | 唯有这首歌才能激发出热情 | Walk on and on
2024-01-01 | 限定餐单问卷调查！ | 2 | mysterious | WEEKEND GARAGE的圣诞节 | Find A Way Out
2024-01-01 | 照亮银色的滑雪场 | 4 | mysterious | 为玩乐做足准备！ | 新春！舞狮机器人的新年演出！
2024-01-01 | 远处的景色 | 4 | happy | 想与你并肩前行 | Kick it up a notch
2024-01-01 | 跑腿时的邂逅 | 4 | happy | 此时此刻，放声歌唱 | 在乐声共鸣的街角
2024-01-01 | 满载的回忆 | 4 | cute | 泪滴将灌溉出花朵 | Light Up the Fire
2025-07-25 | Happy Birthday！！Stamp | bd | cool | 好友发来的消息 | 
2024-01-01 | 偶尔有这么一天也不错 | 3 | happy | 练习预测大会？ | On Your Feet
2024-01-01 | 笑容也能得小红花 | 4 | cool | 我受不了了！ | Let's study hard！
2025-02-28 | Brand New Style | 2 | cute | 一起吃午饭 | 
2024-01-01 | 快上车！ | 2 | pure | 欢迎来到白石家！ | BURN MY SOUL
2024-01-01 | 剧本帮手 | 3 | mysterious | 放映会开始！ | 最棒的杀青！
2026-02-07 | feat.大耳小恶魔 | 2 | cool | 要来恶作剧了哦？ | 
2025-06-12 | 前往未曾抵达的地方 | 4 | pure | 请让我在这里工作！！ | BREAK DOWN THE WALL
2025-04-04 | 在夜路中颠簸 | 4 | happy | 请多指教，老师！ | The first concerto
2025-05-12 | 决战之时 | 4 | cool | 今天正在吵架！ | Whip the wimp girl!!
2025-07-05 | 想和你说的话 | 3 | happy | 各位做好心理准备吧！ | OVER RAD SQUAD!!
2025-07-25 | Happy Birthday！！2025 | bd | mysterious | 从街头开始的惊喜 | 
2025-08-06 | 笑容是标配 | 4 | mysterious | 恰到好处的距离感 | 奏响美妙乐音！
2025-09-04 | 为了不后悔 | 2 | mysterious | 被诅咒的铃和连？ | 锻炼后FLY！Muscle Training！
2025-10-21 | 目标，成为英语高手！ | 4 | cool | 不向噩梦屈服 | Rekindle the flame
2025-12-31 | 无可替代的人们 | 4 | pure | 绝对不会忘记 | Unfading wishing
2026-01-11 | 麻烦的背后 | 2 | cute | 斗志昂扬！ | Time to take off！
2025-10-24 | Let's enjoy the movie！ | 2 | happy | 久等了！好期待电影啊！ | 
2026-04-08 | 接纳这份悲伤 | 4 | cute | 我不是一个人 | Turning Pain into Drive
2026-05-31 | 期待与忐忑 | 2 | cool | 大声喊耶——！ | Aim higher and higher！
2026-07-25 | Happy Birthday！！2026 | bd | happy | 让歌声响彻「世界」 | 
2026-07-31 | 带着笑容挥手 | 4 | happy | 与对手相互竞争 | Competitive fire！
2026-08-15 | feat.旋律吉 | 2 | mysterious | 快乐合唱！ | 
2026-09-27 | 铭记此刻 | 4 | pure | 与挚友的约定 | Our Golden Days
