【望月穗波 - 红线】

姓名: 望月穗波

---- 羁绊组ID | 羁绊对象 ----
10103 | 星乃一歌
10103 | 星乃一歌
10203 | 天马咲希
10203 | 天马咲希
10304 | 日野森志步
10304 | 日野森志步
10321 | 初音未来
10321 | 初音未来
10324 | 巡音流歌
10324 | 巡音流歌
10314 | 凤笑梦
10314 | 凤笑梦
10317 | 宵崎奏
10317 | 宵崎奏
10308 | 日野森雫
10308 | 日野森雫
10313 | 天马司
10313 | 天马司
10325 | MEIKO
10325 | MEIKO
10321 | 
10321 | 
10324 | 
10324 | 
10325 | 
10325 | 
10319 | 东云绘名
10319 | 东云绘名
10323 | 镜音连
10323 | 镜音连
10323 | 
10323 | 
10306 | 桐谷遥
10306 | 桐谷遥
10305 | 花里实乃理
10305 | 花里实乃理
10318 | 朝比奈真冬
10318 | 朝比奈真冬
10322 | 镜音铃
10322 | 镜音铃
10322 | 
10322 | 
10326 | KAITO
10326 | KAITO
10326 | 
10326 | 
10307 | 桃井爱莉
10307 | 桃井爱莉
10309 | 小豆泽心羽
10309 | 小豆泽心羽
10310 | 白石杏
10310 | 白石杏
10311 | 东云彰人
10311 | 东云彰人
10312 | 青柳冬弥
10312 | 青柳冬弥
10315 | 草薙宁宁
10315 | 草薙宁宁
10316 | 神代类
10316 | 神代类
10320 | 晓山瑞希
10320 | 晓山瑞希
