【凤笑梦 - 卡面】

姓名: 凤笑梦
登场卡面数: 47

---- 实装日期 | 卡名 | 星级 | 属性 | 技能名 | 关联活动 ----
2024-01-01 | 超级无敌★乐观向上 | 1 | pure | 我们拉钩！ | 
2024-01-01 | Wonderlands×Showtime | 2 | mysterious | 软乎乎的登场 | 
2024-01-01 | 作战会议开始！ | 3 | cute | 盛情欢迎的冲刺！！ | 
2024-01-01 | 骑上熊猫 | 3 | mysterious | 万圣节Wonderhoi！ | 全力以赴！奇幻万圣节！
2024-01-01 | 冲刺！最后一棒☆ | 4 | pure | 迸发的助威 | 奔跑吧！体育节！～组织委员晕头转向～
2024-01-01 | 闪亮驯鹿发箍☆ | 2 | cute | 和大家度过的第一个圣诞节 | 让歌声响彻，神圣之夜
2024-01-01 | 无可替代的笑容 | 4 | mysterious | 和大家在一起就没问题 | 梦想家的笑容
2024-01-01 | 合而为一的心愿 | 4 | cool | 和玩偶装们踏出的第一步 | 奇幻魔法表演时间！
2024-01-01 | 烧烤专家？！ | 4 | pure | 分享回忆 | 这一定是最棒的summer！
2024-01-01 | 想要守护的笑容 | 2 | happy | 与家人的海边回忆 | 对美人鱼充满憧憬
2024-01-01 | 我跳我跳我跳跳跳！ | 4 | happy | 秘密特训♪ | 重燃的梦想
2024-01-01 | 笑梦队员埋头调查！ | 4 | cool | 梦想和现实都要努力的笔记本 | POP IN MY HEART!!
2024-01-01 | 给☆家人的☆惊喜 | 4 | happy | 皮纳皮纳皮纳塔！ | 秘密♡情人节大作战！
2024-01-01 | 微笑作战圆满成功 | 3 | mysterious | 好玩的“菠菜” | 在璀璨耀眼的舞台上
2024-01-01 | 暴风雨前的垂钓 | 4 | happy | 在游轮上做什么呢？ | 危在旦夕？！无人岛绝处逢生！
2024-01-01 | 眼睛正闪闪发光呢☆ | 4 | cute | 拥有超高☆洞察力的玩家 | close game/OFFLINE
2025-09-08 | Happy Birthday！！Flower | bd | cute | 笑梦队员的大冒险！ | 
2024-01-01 | 和小章鱼的表情一样☆ | 4 | mysterious | 笑眯眯的画画歌 | 绘出自我♪RAINBOW CANVAS
2024-01-01 | 一起即兴表演♪ | 2 | pure | 面对完结 | 惜别谢幕
2024-01-01 | 呈现于眼中的光辉 | 4 | mysterious | 为了迎接大团圆结局 | 梦想的旅途，奔向闪耀的群星
2024-01-01 | 嘎嘎☆挑战演鸭鸭！ | 4 | cute | 为塑造角色拼命特训！ | 追寻翱翔于天际的凤凰
2024-01-01 | 梦想的背后 | 3 | pure | 秘密武器 | 金丝雀于绝境中高歌
2024-01-01 | 凤伯爵驾到！ | 4 | pure | 特别演出大获成功♪ | 给在我身边温柔的你
2024-01-01 | 和姐姐一起☆ | 2 | cool | 为了明天的“快乐” | 手忙脚乱cafe ●REC!!
2024-01-01 | 向着笑容的世界 | 4 | happy | 告别和出发 | 我们的圆满结局
2025-09-08 | Happy Birthday！！Stamp | bd | pure | 无可取代的场所 | 
2024-01-01 | 甜甜～的回忆 | 3 | happy | 最强的配合 | 和你创造的Precious memories
2025-02-28 | Brand New Style | 2 | cool | 想让班中充满笑容 | 
2024-01-01 | 这么一来，我也是摩登女孩♪ | 3 | cool | 凤家的团聚时光 | 以你为主角的故事
2026-02-07 | feat.大耳狗 | 4 | cute | 传递笑容的梦幻演出 | 
2024-01-01 | 一起办电影赏析大会☆ | 2 | cute | 让现场所学成为经验 | 背光的镜头光晕
2025-04-18 | 一起想办法吧 | 4 | cool | 目标是红色房子？ | 向着星星，启航！
2024-01-01 | 如梦似幻般的重逢 | 4 | mysterious | 梦想的播种者 | 
2025-05-29 | 笑傲天下之人 | 4 | cute | 如果出生在不同的时代…… | perspective for smile
2025-07-13 | 小心小偷！ | 3 | cool | 充满回忆的庆功会！ | 捉拿归案？！天马捕物帐
2025-08-27 | 我是喵喵叫的妖怪！ | 4 | cool | 健步如飞的老奶奶？！ | Wonderhorror～？！的试胆！
2025-09-08 | Happy Birthday！！2025 | bd | happy | 探险！发现！生日！ | 
2025-11-20 | 做梦也在学习？ | 4 | pure | 把亮闪闪咔嚓装在心里 | The Power Of Regret
2025-12-21 | 激动人心♪制作点心小镇！ | 2 | happy | 温柔演出的礼物 | Special present for YOU！
2025-10-24 | Let's enjoy the movie！ | 2 | mysterious | 要看好～多的电影☆ | 
2026-02-28 | 一起，倾注感谢之情 | 4 | pure | 白色情人节的欢聚时光 | Connect hearts message
2026-04-22 | 坚定地讲述未来 | 4 | mysterious | 快乐的学习时间 | Choices for the future
2026-05-09 | 在充满笑容的舞台 | 4 | happy | 再多体验一下愉快的时光 | Dear my fellows
2026-07-04 | 在意的剧团 | 2 | pure | 畅想未来 | Deeper and deeper
2026-08-30 | 欢笑仙子 | 4 | cool | 五颜六色的礼物 | Deep Dark For Light
2026-09-08 | Happy Birthday！！2026 | bd | cool | 笑梦王国的公主殿下？！ | 
2026-09-27 | 笑眯眯集章活动 | 3 | cute | 火光闪闪噼啪噼啪咻咻 | Our Golden Days
