【桐谷遥 - 卡面】

姓名: 桐谷遥
登场卡面数: 49

---- 实装日期 | 卡名 | 星级 | 属性 | 技能名 | 关联活动 ----
2024-01-01 | 曾经的国民级偶像少女 | 1 | happy | 不是偶像的我 | 
2024-01-01 | MORE MORE JUMP！ | 2 | pure | 每种各要两个 | 
2024-01-01 | 不是偶像的我 | 3 | cool | 朋友带来的平静 | 
2024-01-01 | 满满的祝福 | 4 | pure | 享受欢呼！ | 奔跑吧！体育节！～组织委员晕头转向～
2024-01-01 | 喜悦之蓝 | 2 | happy | 希望你将来会明白…… | 此时此地再次启程！
2024-01-01 | 偶像的责任 | 3 | cute | 为了烦恼的伙伴们 | Color of Myself!
2024-01-01 | 献给努力的你 | 4 | happy | 一起经历未曾经历过的体验 | 传递心声！充满希望的舞台♪
2024-01-01 | 近在眼前的“最爱” | 4 | mysterious | 欢迎来到企鹅咖啡厅 | 为努力的你营造闲暇时光！
2024-01-01 | 希望有朝一日能传达 | 4 | cool | 展翅而飞的希望 | 
2024-01-01 | 与小粉丝一起 | 4 | mysterious | 将不可能变为可能！ | Happy lovely everyday!
2025-10-04 | Happy Birthday！！Flower | bd | cute | 满溢的“感谢”之情 | 
2024-01-01 | 街头风偶像？！ | 4 | happy | 私人时间 | 搭档·趣事·欢乐时刻♪
2024-01-01 | Present for you！ | 2 | cute | 教教我吧！实乃理老师 | MOREMOREMakingXmas
2024-01-01 | 共同祈愿的未来 | 4 | cute | 欢迎来到桐谷神社？ | 祈愿的未来 憧憬的明天
2024-01-01 | 为了突出“我们” | 3 | mysterious | 因为既是偶像又是高校生 | Cast Spell on You
2024-01-01 | 预感成真 | 4 | cool | 特制芭菲时间到♪ | 连接Painful Hope
2024-01-01 | 夏天！集训！泳装！ | 2 | mysterious | 惊喜回礼 | 在蓝天下追逐光芒
2025-10-04 | Happy Birthday！！Stamp | bd | mysterious | 企鹅天堂！ | 
2024-01-01 | 与大家心意相通 | 4 | cute | 那句话的含义 | 致过去的我
2024-01-01 | 闪耀无比的洪水？！ | 3 | happy | 和朋友回去的路上 | 尖叫？！欢迎来到大灰狼森林
2024-01-01 | 世上最棒的笑容 | 4 | pure | 追忆那天的自己 | 昨日梦想的延续
2024-01-01 | 回到这个地方 | 3 | pure | 第一次说上话的那一天 | 解开的心结之后
2024-01-01 | 可能会发生变化的日常 | 4 | cute | 珍惜平平淡淡的日常 | Re-tie Friendship
2024-01-01 | 回忆与甜甜圈一起 | 4 | mysterious | 可以相互叫名字的关系 | 启航前的一日游
2024-01-01 | 惊喜的背后 | 2 | cool | 得出选择的收获 | STEP by STEP！
2024-01-01 | 必杀！配合攻击 | 4 | happy | 今后的约定 | 和你创造的Precious memories
2025-02-28 | Brand New Style | 2 | cute | 初次邀请 | 
2025-10-04 | Happy Birthday！！Dessert | bd | happy | MMJ礼物对决？！ | 
2024-01-01 | 过于奢侈的夜晚 | 4 | cool | 扮演鬼怪指南！ | 那双手所引向的温暖
2026-02-07 | feat.山姆企鹅 | 2 | cool | 完美的塑身？ | 
2024-01-01 | 惊喜计划 | 2 | pure | 还挺喜欢恶作剧的？ | 东奔西走的饲养员体验！
2024-01-01 | 用深色系展现帅气 | 4 | mysterious | 微小的共同点 | Take the Best Shot！
2024-01-01 | 令人惊讶的房龄 | 4 | pure | 正因为破旧才会乐在其中？ | 刻下的伤痕，总有一天
2025-05-19 | 接受的希望 | 4 | pure | 在「世界」野餐♪ | 总有一日，登上鲜花盛放的舞台
2025-06-22 | 拉近心灵，一起 | 4 | cool | 信念和梦想一致 | Lead to shine more
2025-07-30 | 嚣张的学妹！ | 4 | cute | 尚在燃烧的余烬 | Chase my IDEAL IDOL！
2025-09-04 | 将助威化为翅膀 | 4 | happy | 道具的机密入手途径 | 锻炼后FLY！Muscle Training！
2025-10-04 | Happy Birthday！！2025 | bd | pure | 盛开的花海与洋溢的笑容 | 
2025-12-11 | 尽心尽力 | 3 | cute | 营养丰富的慰问品 | Grow glorious glow
2025-12-31 | 成为大家引以为豪的偶像 | 4 | happy | 偶像才能做到的事 | Unfading wishing
2025-10-24 | Let's enjoy the movie！ | 2 | mysterious | 不能把票弄丢哦？ | 
2026-01-31 | MORE MORE HOUSE的惊喜 | 2 | happy | 太可爱了，怎么选 | 在这针线中寄托心意
2026-02-10 | 摆在眼前的现实 | 4 | mysterious | 不管多遥远，无论在哪里 | Rise and Strive
2026-05-23 | 寻找当制作人的方法 | 3 | pure | 美丽如画的身姿 | Cheer with my Heart!
2026-07-23 | Fantastic！训练室 | 4 | pure | 房间规划！ | start rolling! stars' crossing
2026-08-08 | 促成相遇的牵绊 | 4 | cute | 伙伴的支持 | All ways Jump! with you
2026-09-27 | 舞台侧边的热情 | 4 | pure | 离岛的放松时光 | Our Golden Days
2026-09-30 | Happy Birthday！！2026 | bd | cool | 被音乐和朋友环绕 | 
2026-10-21 | 联合热身 | 2 | cute | 大家一起过放松日 | 交织的色彩一如当初
