【翻唱】

数量: 461

---- 曲名 | 创作者 | 作词 | 作曲 | 编曲 | 实装日期 | 关联活动 | 分类 | 曲绘 | 试听音频 | 演唱版本 ----
Tell Your World | livetune | kz | kz | kz | 2025-01-01 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_001/jacket_s_001.png | https://storage.sekai.best/sekai-cn-assets/music/short/0001_01/0001_01_short.mp3 | 虚拟歌手ver.
ロキ | みきとP | みきとP | みきとP | みきとP | 2025-01-01 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_002/jacket_s_002.png | https://storage.sekai.best/sekai-cn-assets/music/short/0002_01/0002_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver.
テオ | Omoi | Sakurai | Omoi | Omoi | 2020-06-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_003/jacket_s_003.png | https://storage.sekai.best/sekai-cn-assets/music/short/0003_01/0003_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
ヒバナ -Reloaded- | DECO*27 | DECO*27 | DECO*27 | Rockwell | 2020-06-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_006/jacket_s_006.png | https://storage.sekai.best/sekai-cn-assets/music/short/0006_01/0006_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
タイムマシン | 1640mP（164×40mP） | 164 | 40mP | 1640mP | 2022-02-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_008/jacket_s_008.png | https://storage.sekai.best/sekai-cn-assets/music/short/0008_01/0008_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / 虚拟歌手ver. / Another Vocal ver.
ハッピーシンセサイザ | EasyPop | EasyPop | EasyPop | - | 2025-01-01 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_010/jacket_s_010.png | https://storage.sekai.best/sekai-cn-assets/music/short/0010_01/0010_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / 虚拟歌手ver. / Another Vocal ver. / Another Vocal ver. / 愚人节ver.
ビバハピ | Mitchie M | Mitchie M | Mitchie M | Mitchie M | 2025-04-06 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_011/jacket_s_011.png | https://storage.sekai.best/sekai-cn-assets/music/short/0011_01/0011_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver.
Nostalogic | yuukiss | yuukiss | yuukiss | - | 2020-06-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_013/jacket_s_013.png | https://storage.sekai.best/sekai-cn-assets/music/short/0013_01/0013_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
drop pop candy | GigaReol | れをる | ギガ | ギガ | 2022-02-14 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_015/jacket_s_015.png | https://storage.sekai.best/sekai-cn-assets/music/short/0015_01/0015_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver.
アスノヨゾラ哨戒班 | Orangestar | Orangestar | Orangestar | Rockwell | 2025-04-04 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_018/jacket_s_018.png | https://storage.sekai.best/sekai-cn-assets/music/short/0018_02/0018_02_short.mp3 | 「世界」ver.
シャルル | バルーン | バルーン | バルーン | バルーン | 2020-06-09 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_019/jacket_s_019.png | https://storage.sekai.best/sekai-cn-assets/music/short/0019_01/0019_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
脱法ロック | Neru | Neru | Neru | - | 2025-04-11 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_021/jacket_s_021.png | https://storage.sekai.best/sekai-cn-assets/music/short/0021_01/0021_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver.
命に嫌われている | カンザキイオリ | カンザキイオリ | カンザキイオリ | カンザキイオリ | 2021-10-04 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_022/jacket_s_022.png | https://storage.sekai.best/sekai-cn-assets/music/short/0022_01/0022_01_short.mp3 | 虚拟歌手ver. / 「世界」ver. / Another Vocal ver. / Another Vocal ver. / Another Vocal ver.
劣等上等 | Giga | Reol | Giga | Giga | 2025-01-01 |  |  | https://storage.sekai.best/sekai-cn-assets/music/jacket/jacket_s_026/jacket_s_026.png | https://storage.sekai.best/sekai-cn-assets/music/short/0026_01/0026_01_short.mp3 | 虚拟歌手ver. / 「世界」ver.
