【KAITO - 旧制服】

角色: KAITO
分类: 旧制服
数量: 24

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
105 | 2020-09-29 | 涼やかな青い旋律 | 1 | cute | 歌の存在感 |  | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no001/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no001/card_after_training.png
106 | 2020-09-29 | ワンダーランドのセカイ | 2 | cute | 最高のショーを目指して |  | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no002/card_after_training.png
107 | 2020-09-29 | 劇団員募集中！ | 3 | cool | 座長は大変！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no003/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no003/card_after_training.png
121 | 2020-10-31 | 迷い子達との語らい | 4 | happy | 導きの手 | 全力！ワンダーハロウィン！ | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no006/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no006/card_after_training.png
140 | 2020-12-10 | ヒミツの演技指導 | 4 | mysterious | あの感動をもう一度 | KAMIKOU FESTIVAL！ | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no007/card_after_training.png
214 | 2021-04-30 | 陽気なDJ現る？ | 4 | happy | こだわりと情熱 | STRAY BAD DOG | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no008/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no008/card_after_training.png
236 | 2021-06-11 | チェシャっとスマイル | 2 | cool | つながった笑顔の輪 | ワンダーマジカルショウタイム！ | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no009/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no009/card_after_training.png
272 | 2021-08-20 | 座長の一日休暇 | 3 | happy | 叶えられた願い | マーメイドにあこがれて | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no010/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no010/card_after_training.png
280 | 2021-09-10 | 音で語るセッション | 4 | mysterious | 新しい扉を開いて | Knock the Future!! | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no011/card_after_training.png
333 | 2021-12-10 | アイドル兼マネージャー！？ | 3 | pure | 頼れるみんなのお兄さん | MOREMOREMakingXmas | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no012/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res026_no012/card_after_training.png
